folio,side,par,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
105,R,8,"cc,c,o,x,N,a,Z,9","4,o,N,o,x,N,9","cc,c,o,8,9","M,a,i,Z","9,M,c,c,9","o,m","8,a,Z","a,n,x,8,9","a,Z","o,x,c,c,8"
105,R,10,"o,M,a,m","9,M,c,8,9","o,M,a,Q","8,a,Z","o,M,c,o","4,o,M,a,Z","M,c,8","cc,c,8,9","o,x","o,M,a,Z"
105,V,1,"cc,c,8,a,m","N,c,c,o,x","o,x","o,x,a,Z","cc,8,o,Z","4,o,N,c,c,8,9","o,Z,cc,2,c,9","o,x,N,c,c,o,x","4,o,M,a,m","o,M,c,c,8,9"
105,V,3,"x,N,c,c,8,a,x","o,N,c,c,2","N,a,i,Z","a,x","o,M,a,Z","4,o,N,cc,8,9","o,P2,cc,c,8,9","2,a,m","a,Q","M,a,i,Z"
105,V,5,"a,Q","Z,o,N,a,i,Y","N,cc,?,9","a,?","c,c,8","o,N","M,a,m","cc,c,c,o","x,N,a,n,Z","o,M,x,c,c,9"
105,V,7,"P2,a,m","P1,cc,c,8,9","x,N,o,x","c,N,c,c,o,x","8,a,m","o,M,o","o,M,a,Z","o,N,a,n","a,x,cc,c,c,9","P2,a,Z,a,8,a,Q"
105,V,9,"8,a,m","o,M,o,Z","o,N,c,c,8","a,n,8,9","o,M,a,m","a,m","8,o,x","a,n,cc,9","9,cc,M,a,n,2","2,9"
106,R,1,"cc,c,o,2","o,Z","9,M,cc,8,9","x,N,cc,c,8,9","x,cc,c,8,9","8,c^c,c,2","Z,o,8","4,o,M,a,Z","cc,c,8,9","cc,c,8,9"
106,R,3,"cc,c,8,9",8,"4,o,N,c,c,o","o,x,N,c,c,9","x,cc,c,c,8,9","o,N,c,c,9","x,cc,Q","o,N,c,c,9","a,m","o,N,c,c,c,2"
106,R,5,"o,N,c,o,Z","cc,c,8,9","o,M,a,x","o,M,a,i,2","8,o,x,cc,c,8,9","o,x,cc,c,c,9","o,N,a,m","9,cc,a,x","o,P2,a,x","8,a,m"
106,R,7,"o,N,a,n","cc,c,a,Z,a,m","x,N,c,c,8,9","cc,c,o","4,o,N,cc,c,8,9","o,x,N,c,c,8,9","4,o,N,a,m","4,o,cc,c,8,9","cc,c,o,8,a,x","cc,c,8,9"
106,V,6,"2,a,n","o,M,a,m","o,x,a,m","Z,a,n","cc,c,8,9","o,M,a,x","o,M,a,m","8,a,Z,c^c,9","8,a,i,Z,9","4,o,M,a,x,9"
106,V,14,"c^c,N,9","8,cc,c,o,a,m","cc,o,2","a,Z","cc,c,o","Z,a,m","o,N,9","o,x","cc,N,a,m","o,N,c,c,c,9"
107,R,1,"Z,a,m","o,N,c,c,9","9,N,a,n","4,o,M,a,n","9,cc,c,c,8,9","4,o,N,c,c,c,9","c^c,c,o,2","o,x,cc,c,c,9","x,o,Z","4,c,c,c,9"
107,R,3,"a,m,a,x","x,o,Z,a,n,Z","cc,a,x","9,cc,o,x","o,M,a,Z,a,Q","o,N,a,m","o,N,a,Z","o,N,a,m","o,Z,a,m",x
107,R,5,"cc,c,9","x,o,2,a,m","cc,c,9","2,a,i,Z","a,Q","o,M,a,m","N,a,i,Z","c^c,c,9","4,c,c,o,9","o,P2,cc,c,o,x"
107,R,7,"cc,o,8,a,m","c^c,a,Z","cc,o,8,a,m","x,x,8,9","o,N,a,i,Z","a,m+",Z,"4,o,N,a,x","x,c^c,c,8,9","4,o,M,a,x,a,x"
107,R,9,"c^c,o,x","a,Z","x,N,c,c,o","o,x,N,c,c,o","N,a,x","9,N,a,x","9,N,a,m","x,N,a,m","o,M,cc,9","cc,c,c,9"
107,R,11,"a,x,N,a,n",x,"cc,o","cc,c,N,c,9","N,a,m","9,cc,N,x","x,N,a,Z","x,N,a,m","cc,c,9","4,o,N,x"
107,R,13,"4,o,N,a,m","8,9","4,o,N,c,c,o","o,N,c,c,9","8,a,n","9,cc,c,o","a,Z,a,Q","cc,o,M,a,m","M,a,m","o,M,a,x"
