"url","author1","shorttitle","title","year","category"
"https://www.deutschestextarchiv.de/522967","Baudis, Andreas","","Leichpredigt Bey der Christlichen Begrebniß Der Edlen ehr vnd Tugendreichen Fraw Maria Schorerin von Augspurg","1598","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/510575","Baudis, Andreas","","Leichpredigt/ Welche bey dem Begräbnüs Des Ehrbaren vnd Gelehrten Christophori Vtlandes des Jüngern","1611","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/539565","Baudis, Laurentius ","","Das Gelehrte/ Geehrte/ Beschwerte und Bewerthe Superintendenten-Haubt","1662","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/508441","Baudissen, Gotfrid","","Abdanckung Bey der ansehentlichen Sepultur Deß Weiland Ehrenfesten/ Wolweisen vnd Wolbenambten Herren Simon Neissers","1624","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/bauer_buehnenleben_1871","Bauer, Karoline","","Aus meinem Bühnenleben","1871","Belletristik"
"https://www.deutschestextarchiv.de/bauller_lasterspiegel_1681","Bauller, Johann Jacob","","Hell-Polirter Laster-Spiegel/ Underschiedlich in sich haltend alle und jede Fugienda, Was ein Christ Böses fliehen soll","1681","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/baeumer_rabiatheit_1906","Bäumer, Gertrud",,"„Unreife Rabiatheit“","1906","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/baumgart_poetik_1887","Baumgart, Hermann",,"Handbuch der Poetik","1887","Wissenschaft"
"https://www.deutschestextarchiv.de/baumstark_encyclopaedie_1835","Baumstark, Eduard","","Kameralistische Encyclopädie","1835","Wissenschaft"
"https://www.deutschestextarchiv.de/beatus_amphitheatrum_1614","Beatus, Georg",,"Amphitheatrvm Naturae, Schawplatz Menschlicher Herzlichkeit","1614","Wissenschaft"
"https://www.deutschestextarchiv.de/bebel_sozialdemokratie_1895","Bebel, August",,"Die Sozialdemokratie und das Allgemeine Stimmrecht","1895","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/bebel_recht_1912","Bebel, August",,"Für unser Recht","1912","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/bebel_wahlrecht_1911","Bebel, August",,"Warum verlangen die Frauen das Wahlrecht?","1911","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/becher_narrheit_1682","Becher, Johann Joachim","","Närrische Weißheit Und Weise Narrheit","1682","Wissenschaft"
"https://www.deutschestextarchiv.de/becher_discurs_1668","Becher, Johann Joachim","","Politischer Discurs Von den eigentlichen Vrsachen/ deß Auf- und Abnehmens/ der Städt/ Länder/ und Republicken","1668","Wissenschaft"
"https://www.deutschestextarchiv.de/becher_psychosophia_1683","Becher, Johann Joachim","","Psychosophia Oder Seelen-Weißheit","1683","Wissenschaft"
"https://www.deutschestextarchiv.de/bechstein_dunkelgraf_1854","Bechstein, Ludwig",,"Der Dunkelgraf","1854","Belletristik"
"https://www.deutschestextarchiv.de/beck_eisen01_1884","Beck, Ludwig","","Die Geschichte des Eisens in technischer und kulturgeschichtlicher Beziehung","1884","Wissenschaft"
"https://www.deutschestextarchiv.de/beck_eisen02_1895","Beck, Ludwig","","Die Geschichte des Eisens in technischer und kulturgeschichtlicher Beziehung","1895","Wissenschaft"
"https://www.deutschestextarchiv.de/beck_eisen03_1897","Beck, Ludwig","","Die Geschichte des Eisens in technischer und kulturgeschichtlicher Beziehung","1897","Wissenschaft"
"https://www.deutschestextarchiv.de/beck_eisen04_1899","Beck, Ludwig","","Die Geschichte des Eisens in technischer und kulturgeschichtlicher Beziehung","1899","Wissenschaft"
"https://www.deutschestextarchiv.de/beck_eisen05_1903","Beck, Ludwig","","Die Geschichte des Eisens in technischer und kulturgeschichtlicher Beziehung","1903","Wissenschaft"
"https://www.deutschestextarchiv.de/becke_soldaten_1605","Becke, Berthold von der","","Soldaten-Spiegel","1605","Wissenschaft"
"https://www.deutschestextarchiv.de/becker_arbeiter_1860","Becker, Bernhard","","Wie Arbeiterwohnungen gut und gesund einzurichten und zu erhalten seien","1860","Wissenschaft"
"https://www.deutschestextarchiv.de/524470","Becker, Cornelius ","","Leichpredigt","1594","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/beckmann_technologie_1777","Beckmann, Johann","","Anleitung zur Technologie","1777","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/beer_antonius_1697","Beer, Johann","","Antonius Römischer Triumvir","1697","Belletristik"
"https://www.deutschestextarchiv.de/beer_europa_1682","Beer, Johann","","Der verliebte Europäer, Oder Warhafftige Liebes-Roman","1682","Belletristik"
"https://www.deutschestextarchiv.de/beer_lebensbeschreibung_1680","Beer, Johann","","Jucundi Jucundissimi Wunderliche Lebens-Beschreibung","1680","Belletristik"
"https://www.deutschestextarchiv.de/beer_nero_1685","Beer, Johann","","Nero","1685","Belletristik"
"https://www.deutschestextarchiv.de/beer_paria_1829","Beer, Michael",,"Der Paria","1829","Belletristik"
"https://www.deutschestextarchiv.de/behrens_hercynia_1703","Behrens, Georg Henning","","Hercynia Curiosa, oder Curiöser Hartz-Wald","1703","Wissenschaft"
"https://www.deutschestextarchiv.de/beier_buchhandel_1690","Beier, Adrian","","Kurtzer Bericht/ von Der Nützlichen und Fürtrefflichen Buch-Handlung/ und Deroselben Privilegien","1690","Wissenschaft"
"https://www.deutschestextarchiv.de/beneke_militiam_1715","Beneke, Johann Gerhard",,"Militiam contra Malitiam Oder Die wol-geübte Ritterschafft der Gläubigen","1715","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/bengel_abriss01_1751","Bengel, Johann Albrecht","Abriß der so genannten Brüdergemeine, in welchem die Lehre und die ganze Sache geprüfet, das Gute und Böse dabey unterschieden, und insonderheit die Spangenbergische Declaration erläutert wird. Erster Theil.","Abriß der so genannten Brüdergemeine, in welchem die Lehre und die ganze Sache geprüfet, das Gute und Böse dabey unterschieden, und insonderheit die Spangenbergische Declaration erläutert wird","1751","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/benner_meineid_1739","Benner, Johann Hermann","","Christliches Bedencken von dem vorsetzlichen Meineid ","1739","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/benner_herrnhuterey01_1746","Benner, Johann Hermann","","Die gegenwärtige Gestalt der Herrnhuterey in ihrer Schalckheit","1746","Wissenschaft"
"https://www.deutschestextarchiv.de/benner_herrnhuterey02_1747","Benner, Johann Hermann","","Die Herrnhuterey in ihrer Schalkheit","1747","Wissenschaft"
"https://www.deutschestextarchiv.de/benner_herrnhuterey04_1748","Benner, Johann Hermann","","Hernhuterey in ihrer Schalckheit","1748","Wissenschaft"
"https://www.deutschestextarchiv.de/benner_herrnhuterey03_1748","Benner, Johann Hermann","","Herrnhuterey in ihrer Schalkheit","1748","Wissenschaft"
"https://www.deutschestextarchiv.de/berg_ostasien01_1864","Berg, Albert","","Die preussische Expedition nach Ost-Asien","1864","Wissenschaft"
