folio,par,line,color,rays,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26
103v,1,3,,,"4,o,N,c,c,o,Z","cc,c,8,9","4,o,N,c,9","8,a,Z","cc,c,c,M,c,9","cc,o,Z","4,o,M,9","c^c,8,9","o,N,c,c,8,9","4,o,N,c,c,9","4,o,N,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,1,4,,,"9,cc,c,c,9","4,o,N,c,c,9","o,N,c,c,9","x,N,c,c,2","o,x","4,o,M,c,c,8,9","9,N,c,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,2,1,W,7,"P2,o,c,c,o,Z","o,x,N,c,c,9","cc,c,N,9","4,o,N,c^c,8,9","4,o,N,a,m","o,N,c,cc,8,9","4,o,P2,cc,8,9","4,o,M,c,8,9","4,o,N,a,n","o,x,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,2,2,,,"8,a,n","c^c,c,9","4,o,N,c,c,8,9","cc,c,o,x","4,o,c,c,o,Z","x,c^c,o,Z","4,o,N,9","c^c,c,8,9","4,o,N,a,m","cc,c,8,9","4,o,N,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,2,3,,,"8,a,m","c^c,c,9","cc,o,x","cc,c,9","o,M,c,c,9","x,N,c,c,o,Z","o,N,a,m","c^c,c,8,9","c^c,c,8,9","4,o,N,a,m","o,x","cc,c,8,9,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,2,4,,,"2,a,n","c^c,c,9","o,x,c^c,c,c,9","8,a,i,Z","cc,c,N,a,a,x","o,N,c,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,3,1,R,7,"P2,cc,a,x,c^c,a,x","c^c,o,Z,cc,8,9","o,N,c,a,Z","o,N,a,n","c^c,c,8,9","P2,cc,c,8,9","4,o,M,cc,c,8,9","4,o,M,a,Z","o,x","x,N,a,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,3,2,,,"o,Z","cc,c,c,9","4,o,N,c,c,c^c,9","o,N,c,c,9","x,o,m","o,c,M,c,9","o,M,c,8,9","x,o,Z","a,m","c^c,c,o,Z","4,o,M,a,n","o,x,x,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,3,3,,,"4,o,N,c,c,8,9","o,x,N,c,c,c^c,9","4,o,N,9","4,o,N,a,x","c^c,c,8",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,4,1,W,7,"2,a,x","c^c,c,a,x","c^c,c,8,9","o,N,c,c,8,9","4,o,N,c,c,9","x,o,x","c^c,c,8,9","P2,cc,o,Z","P2,cc,c,8,9","P2,o,x","c^c,c,c,8,9","o,P2,a,x,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,4,2,,,"8,a,n","c^c,c,c,9","o,x,c^c,9","o,M,c,9","o,x,c^c,c,8,9","4,o,M,c^c,8,9","o,N,c,c,9","x,Z","a,n","o,N,a,n","o,x,c^c,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,5,1,R,7,"M,c,c,o,x","c^c,c,o,x","c^c,o","4,o,N,c,c,8,9","c^c,c,8,9","4,o,N,c,9","o,c^c,c,8,9","o,M,c,c,8,9","4,o,N,a,n","o,M,a,Z","a,m","o,M,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,5,2,,,"M,cc,c,8,a,x","c^c,c,9","x,cc,c,c,9","x,cc,8,9","cc,a,Z","o,x,cc,c,9","x,cc,c,o,8,9","M,c,8,9","o,M,a,n","o,M,a,n","o,M,a,x,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,5,3,,,"8,o,m","c^c,c,c,N,cc,9","o,N,c,c,c^c,9","4,o,x","c^c,c,8,9","o,M,a,n","o,x,N,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,6,1,W,7,"4,o,N,c,c,8,9","cc,c,8,9","4,o,M,c,c,9","o,M,c,c,8,9","x,N,c,8,9","c^c,c,8,9","4,o,N,a,x","o,x","c^c,a,Z","o,M,a,x","o,P2,cc,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,6,2,,,"9,c^c,c,a,Z","o,x","o,4,a,m","cc,c,N,c,c,9","x,cc,c,8,9","cc,c,8,9","o,x,a,m","o,M,c,c,8,9","4,o,N,c,c,8,a,x","x,a,Z,o,Z,o,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,6,3,,,"8,a,m","cc,c,9,x,N,c,c,9","cc,a,x,N,a,2","cc,c,c,c,9",x,"cc,c,a,x,a,n","o,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,7,1,R,7,"P2,o,x,cc,a,Z","o,M,a,Z","o,N,a,n","c^c,a,c,M,c,9","o,M,c,a,x","o,N,a,n","4,o,M,a,x","c^c,c,8,9","4,o,N,c,c,9","x,o,x,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,8,1,W,6,"M,o,N,a,n","c^c,a,x","4,o,N,c,c,8","o,M,c,c,8,9","c^c,c,o,N,9","c^c,a,c,N,cc,9","M,a,Z","M,c,o,Z","o,M,a,Q","o,x,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,8,2,,,"o,x,c^c,c,9","4,o,N,c^c,9","4,o,M,a,x","c^c,c,c,9","o,x,o,m","o,x,cc,c,8,9","4,o,N,a,n","c^c,c,8,9","4,o,N,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,8,3,,,"9,cc,c,o,8,9",x,"a,Z","cc,c,c,9","o,Z","a,m+","o,M,c,c,9","o,M,a,x","o,M,c,a,Z","a,Z","a,Z","N,c,c,9","4,o,M,9",$,$,$,$,$,$,$,$,$,$,$,$,$
103v,8,4,,,"9,N,c,c,9","x,cc,c,9","4,o,N,c,c,9","Z,o,Z","a,m","o,x,a,i","o,M,a,?","o,M,a,n","o,M,a,n","a,Z",9,"N,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,8,5,,,"2,a,n","o,x,N,c,c,c,9","4,o,N,a,i","o,M,c,c,8,9","4,o,M,a,n","o,M,a,x","o,M,9","o,P2,a,Z","a,Z,a,Q","o,M,c,c,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
