folio,par,line,color,rays,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26
106r,9,2,,,"2,o,Z,a,m","cc,c,c,o","x,o,x,cc,c,9","4,o,N,a,m","c^c,c,8,9","o,N,a,n","c^c,c,a,Z","4,o,N,a,n","cc,c,c,2","9,N,a,Z,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,9,3,,,"9,cc,c,c,o","x,N,c,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,10,1,W,7,"M,cc,c,o,N,9","x,N,c^c,c,8,9","4,o,N,a,m","x,N,9","Z,a,m","cc,9","Z,o,8,9","cc,x,o,Z","cc,c,c,o,Z,P1,o,Z","cc,c,o,x,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,10,2,,,"o,N,a,m","o,x","x,cc,o","Z,cc,c,9","Z,a,m","4,o,N,a,m","cc,c,9","cc,o,N,a,m","cc,c,a,Z","a,Z","o,x","Z,a,Z,a,x,cc,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,10,3,,,"2,a,m","cc,a,x","cc,x,o,x","o,N,a,x","9,N,a,x,a,m","o,N,a,n","4,o,N,a,n","a,Z","o,N,a,m","cc,o,Z","a,m,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,10,4,,,"9,cc,c,c,o","x,N,a,m","cc,o","Z,o,Z","c^c,c,o,x,N,a,n","c^c,o,Z","2,a,Z","a,n,2,9","c^c,c,o,a,x","N,a,i,2,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,10,5,,,"9,c^c,a,Z","cc,N,a,Z","a,m,N,9","Z,a,x","cc,c,o,x","o,Z,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,11,1,R,8,"P2,o,Z,a,x","c^c,o","N,c,c,o,8,9","4,o,N,a,n","cc,c,N,c,9","o,x,M,c,cc,8,9","4,o,P2,cc,c,2","a,x","N,a,Z,cc,9","4,o,M,c,8,a,Z,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,11,2,,,"9,cc,c,o,x","cc,o,N,a,m","c^c,c,o,8,9","cc,o,8,9","4,o,N,a,m","a,Z","a,N,a,i,Z","a,n,Z","o,N,a,x,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,12,1,W,8,"M,cc,c,o,Z,c^c,o","x,N,c^c,c,9","x,P2,cc,c,o","Z,o","x,P2,cc,c,9","o,P2,o,Z,a,m","cc,P2,cc,9","4,o,P2,cc,c,o,8,9","4,o,M,a,Z,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,12,2,,,"o,N,a,m","cc,o,N,9","x,N,a,Z","cc,8,9","x,cc,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,13,1,R,8,"P2,c^c,c,o,8,a,x,o","8,a,Z","c^c,c,o,8,a,x","4,o,M,c,8,9","4,o,M,c,2","a,m","o,N,a,x,a,x","c^c,8,9","o,M,a,m","c^c,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,13,2,,,"M,cc,o,8,a,m","M,cc,c,o","8,x,cc,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,14,1,W,7,"P2,c^c,o,8,a,m","o,P2,cc,9","c^c,o,M,c,c,o,8,9","c^c,o,M,cc,c,9","9,M,c,c,9","c^c,o,x,P1,o,m","o,P2,cc,8,9","x,cc,8,9","8,o,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,14,2,,,"9,cc,c,o,o,x","cc,c,c,c,9","o,x","a,m","cc,c,o,8,9","x,a,m+","cc,c,N,o,x","cc,c,c,9","o,N,cc,a,Z","a,m","a,x,o,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,14,3,,,"c^c,a,m","a,Z","a,m","c^c,c,c,9","x,N,a,m","c^c,c,c,8,9","c^c,c,8,9","4,o,N,a,x","cc,c,9","o,N,a,m","cc,8,a,x,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,14,4,,,"8,a,i,Z","a,x,c^c,c,o,8","c^c,c,8,9","cc,o,x","cc,c,8,9","cc,c,o,x","c^c,o,Z,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,15,1,R,8,"P2,cc,c,o,8,a,Z","c^c,o,x,N,a,n","o,N,c^c,cc,c,8,9","4,o,M,c,c,9","c^c,o,M,cc,9","4,o,M,9,x,P2,a,m","c^c,c,8,9","x,a,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,15,2,,,"8,a,n,Z,a,x","c^c,c,o,x","8,a,m","o,M,c,8,9","4,o,N,a,n","a,N,a,2","cc,c,o,Z","a,x","M,a,m","cc,c,N,a,x","o,M,a,Z,a,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,15,3,,,"8,c^c,c,8,9","4,o,M,c,c,9","o,M,a,m","cc,9","cc,c,a,x,o,x","cc,x,cc,8,a,m","o,M,9","o,M,a,i,2","o,M,a,n,N,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,15,4,,,"9,c^c,c,c,8,a,x","o,N,a,n","a,N,a,n","o,M,a,Z","N,a,m","cc,8,a,x,N,a,i,Z","o,x,N,a,i,2","a,x,N,c,c,8,9","o,N,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,15,5,,,"2,o,M,cc,8,a,m","c^c,o,8,a,m","o,M,c,8,9","4,o,N,c,c,8,9","4,o,N,a,m","9,N,a,Z","4,o,N,a,n","cc,c,c,8,9","x,o,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,15,6,,,"9,cc,c,o,a,Z","o,N,a,n","4,o,N,a,n","cc,a,Z","o,N,9","cc,c,o,N,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,1,1,W,7,"P1,c^c,c,8,a","x,o,a,n","o,P2,a,n,Z,a,x","o,M,c,o,8,a,m","cc,o,P2,cc,9","o,M,a,i,Z","N,a,Z","a,x,a,x,o,Z","a,m","a,x,9","N,a,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,1,2,,,"8,a,m","a,x","c^c,c,c,o,8,a,Z","9,cc,M,a,n","cc,a,Z","o,M,o,Z","4,o,N,a,Z","o,N,a,Z","c^c,c,8","c^c,c,o","N,c,o,Z","a,n","a,Q,cc,9",$,$,$,$,$,$,$,$,$,$,$,$,$
106v,1,3,,,"9,c^c,c,8,a,m","c^c,c,N,c,9","cc,c,o,N,cc,9","2,a,Z","a,x","cc,o",x,"cc,c,8,9","9,M,a,n","o,M,a,2","a,x","cc,8,9","8,a,x,9","x,o,8,9",$,$,$,$,$,$,$,$,$,$,$,$
106v,1,4,,,"9,cc,c,o,M,o","x,c^c,c,o","a,m","cc,c,M,c,9","o,N,a,n","cc,8,a,x","cc,8,a,Q","cc,a,Z","a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,2,1,R,8,"M,c^c,o,a,Z",o,"c,c,9","4,o,N,a,n","c^c,9,P2,cc,c,8,9","o,P2,cc,c,8","4,o,P2,cc,c,8,9","o,M,a,m","cc,c,P2,a,Z,a,m",o,"c,M,c,9","8,a,i,Z","Z,9",$,$,$,$,$,$,$,$,$,$,$,$,$
106v,2,2,,,"8,a,m","c^c,o,8,9","N,cc,c,8,9","c^c,c,o,8,9","o,x,N,a,m","c^c,N,a,Z","cc,o,8,9","M,a,x,c^c,8,9","4,o,N,a,n","N,a,Z,a,Z,o",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,2,3,,,"2,o,9","c^c,c,a,x,c^c,o","8,9","cc,a,n","c^c,o,x","N,a,n","c^c,o,N,a,m","4,o,M,a,m","cc,o,8,a,Z","a,i,x","8,a,x","8,a,Z","x,o,Z,o,Z",$,$,$,$,$,$,$,$,$,$,$,$,$
106v,2,4,,,"o,Z,a,m","cc,c,o","Z,o,x","a,m","o,M,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,3,1,W,8,"M,c^c,o,8,a,m","c^c,o,x,N,a,i,2","o,Z,a,n,N,a,Z","a,m","c^c,M,cc,9","4,o,P2,cc,8,9","4,o,P2,cc,9","x,o,x,N,a,i,Z","c^c,c,a,2","a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,3,2,,,"9,c^c,c,o,8,9","cc,c,o,x","o,M,c,c,9","4,o,8,a,m","9,M,a,n","9,cc,8,9","o,x,M,9,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,4,1,R,8,"M,cc,8,9,2","a,Z","c^c,c,8,9","o,M,c,c,o,8,9","N,c^c,c,8,9","4,o,M,cc,8,9","4,o,M,a,Z","c^c,c,8,9","4,o,M,c,8,9","o,P2,cc,9","N,a,m","c^c,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,4,2,,,"9,cc,c,c,9","4,o,c,c,8,9","cc,o,8,a,n","o,M,a,x,cc,8,9","4,o,N,a,m","cc,o,N,a,m","cc,o,8,9","4,o,N,a,x","o,M,a,x","o,M,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,4,3,,,"o,x,N,c,c,a,x","N,cc,c,8,9","4,o,c,c,c,9","Z,a,x","cc,c,2","a,x","9,M,a,Z","c^c,2,9","x,cc,c,9","9,N,a,m","c^c,9","x,N,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,4,4,,,"2,cc,c,8,9","Z,a,m","cc,a,Z","a,Z","c^c,c,9","cc,c,8,9","a,m+","a,x,N,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,5,1,W,8,"N,cc,c,o,9,N,a,Z","c^c,c,8,9","4,o,P1,cc,8,9","o,M,c^c,c,8,9","4,o,N,cc,8,9","4,o,M,c^c,8,9","4,o,N,cc,8,9","N,a,i,Z","a,x,o,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,5,2,,,"2,a,Z,a,Z","o,N,c,a,Z","a,m","cc,o,M,a,x","c^c,o,8,9","4,o,M,cc,8,9","4,o,M,a,Z","c^c,c,8,9","cc,o,8,a,x","cc,c,8,9","4,o,M,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,5,3,,,"2,a,x,a,Z","c^c,c,o,8,a,Z","o,N,a,n","4,o,8,a,m","cc,o,8,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,6,1,R,7,"P2,c^c,o,8,a,x,o,2","4,o,N,c^c,8,9","4,o,N,c^c,9","o,P2,cc,8,9","4,o,N,c^c,8","a,Z","c^c,8,a,Z","o,c,c,8,9","4,o,M,a,x,9","8,a,i,Z,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,6,2,,,"8,a,Z,c^c,9","o,M,a,m","o,M,a,x","cc,c,8,9",Z,"a,n","o,x,a,m","o,M,a,m","2,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,7,1,W,9,"P2,o,x,cc,2","x,N,a,n,Z","c^c,o,N,a,Z","cc,o,c,P1,9","c^c,o,Z","4,o,N,o,Z","c^c,c,c,o","N,o,x,c^c,c,2","o,N,cc,a,Z,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,7,2,,,"9,cc,c,o,x,N,a,m","cc,c,o","x,cc,8,a,m","o,2,a,m","o,N,a,x","c^c,c,c,8,9","4,o,N,cc,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,8,1,,,"M,c^c,o,8","4,o,N,cc,9","4,o,N,a,m","o,N,c^c,9","4,o,N,a,Z","c^c,c,8,9","c^c,c,9","4,o,P2,c^c,c,8,9","c^c,8,9,N,a,i,Z,9,x","a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,8,2,,,"o,x,N,a,x,o,x","c^c,a,Z","cc,o,Z","o,N,a,x","cc,8,9","cc,o,x","cc,c,8,9","4,o,M,a,m","o,Z,a,m","o,N,c,c,8,9","4,o,N,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,8,3,,,"2,o,Z,a,m","2,o,x,c^c,c,8,9","4,o,N,cc,8,9","4,o,N,o,x","cc,8,a,m","cc,8,a,x","a,i,Z","o,8,x","cc,a,Z,a,n","o,N,a,c,P1,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,8,4,,,"2,a,Z","c^c,c,o,x","cc,o,x","c^c,a,Z","cc,o,x","o,N,a,Z,o,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,9,1,R,8,"M,a,Z","a,i,Z","N,c^c,8,a,n","o,N,a,x","cc,8,9","x,cc,c,8,9","N,c^c,a,Z","cc,o,P2,cc,9","o,M,cc,c,2","a,Z","a,x","o,P2,cc,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,9,2,,,"o,x,cc,c,o","o,8,a,m","c^c,c,o,M,a,x","c^c,o,a,Z","4,o,N,c,c,9","o,a,Z,a,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,10,1,W,8,"P2,c^c,c,o,8,9","o,x,N,c,c,8,9","4,o,N,o,Z","c^c,c,o,2","cc,o,M,9","4,o,M,a,m","o,M,c,o,8,9","o,M,a,m","4,o,N,a,Z","o,M,9","8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,10,2,,,"9,cc,c,c,9","o,x,cc,c,9","cc,c,8,9","4,o,M,a,m","cc,c,o,2","o,M,a,m","o,M,a,n","cc,o,M,a,Z","o,x,o,2","a,m","cc,c,o,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,10,3,,,"o,M,a,m","o,N,o,cc,c,9","4,o,8,9","o,c,c,?,9,2,a,Z,Y","o,N,c,c,9","o,M,c,c,8,9","N,c^c,c,o,8,9","4,o,N,c,c,8,9","4,o,M,o","N,o,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,10,4,,,"c^c,c,c,9","N,o","c^c,o,8,9","cc,o,2","a,m","o,x,cc,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,11,1,R,8,"M,o,x,o,2","c^c,8,a,i,Z","c^c,c,N,9","N,c,c,8,9","4,o,c,c,8,9","4,o,P1,cc,c,8,9","2,a,i,Z","a,x","P2,cc,c,8,9","9,P2,o,8,a,m","2,a,Z,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,11,2,,,"cc,o,a,m","o,8,9","4,o,M,a,Z","cc,c,9","o,x","a,m","cc,c,o","8,9,cc,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,12,1,W,7,"P2,cc,o,8,a,m","N,cc,c,c,o,Z","a,x","N,9","c^c,c,M,c,9","o,M,o,2","a,Z","o,8,a,x","P2,cc,c,o,8,9","4,o,M,a,m","o,M,o,Z","a,x,o,8,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,12,2,,,"c^c,o,8,9","c^c,o,c,N,c,9","4,o,N,c,c,9","4,o,N,cc,o,x","N,cc,c,8,9","c^c,8,9","N,cc,c,8,9","cc,c,8,9","4,o,c,N,c,c,9","o,N,a,m","a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,12,3,,,"2,o,x","c^c,c,c,8,9","4,o,N,a,m","cc,o,x,N,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,13,1,R,8,"P2,9,o,a,x,9","cc,c,o","a,n,Z","a,x","N,c^c,c,o,8,a,Z","4,o,8,a,m","c^c,c,P2,c,o,o,Z","c^c,c,8,9","o,M,c,8,a,Z","o,P2,o,x","P1,cc,c,8,9","o,8,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,13,2,,,"o,N,cc,c,o","8,9","4,o,N,c,c,9","o,M,cc,c,9","4,o,N,c,c,9","4,o,N,c,c,8,a,x","4,o,M,cc,N,c,c,9","4,o,x","Z,o,8,9","Z,a,m","o,M,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,13,3,,,"4,o,N,a,m","cc,c,9","N,a,Z","o,M,c,o,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,14,1,W,8,"N,o","c^c,c,o","8,9","4,o,8,9","cc,c,2","a,m","8,a,i,Z,a,i,Z","o,P2,cc,c,8,9","P2,cc,8,9","N,o,x,cc,c,8,9","M,cc,c,o,8,a,2","P2,o,8,N,o,2",$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,14,2,,,"o,M,c,8,9","4,o,a,Z","cc,c,c,9","N,a,m","4,o,M,c,c,o","8,9","o,N,a,m","o,M,c,c,9","4,o,M,c,c,8,9","cc,o,M,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,15,1,R,7,"P2,9,cc,a,x","c^c,c,8,9","4,o,M,c,c,8,9","cc,c,9,N,9","o,N,c,8,a,m","o,M,c,8,9","o,8,a,m","cc,8,9","cc,9","N,c,c,8,9","x,N,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,15,2,,,"cc,c,8,9","o,N,c,c,9","4,o,N,c,c,8,9","o,N,c,c,9","c^c,c,c,9","4,o,N,a,m","a,x","a,x","N,a,x,o,2","cc,c,8,9","8,N,a,n","cc,c,M,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,15,3,,,"c,M,c,c,9","cc,c,9","o,N,a,x","cc,c,9","N,c,c,9","Z,a,n","o,N,c,c,o","o,M,a,m","cc,c,8,a,Z","o,M,c,c,8,9","o,M,o,x","o,M,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,15,4,,,"9,2,o,i,2","o,N,c,c,9","cc,c,o,8,a,n","cc,c,9","M,cc,a,Z",o,"4,o,M,a,m","o,M,9","Z,a,Z,a,x","o,M,c,c,9","2,a,Z","a,i,x,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,15,5,,,"9,M,a,Z","o,N,a,n","cc,c,o,N,a,m","cc,c,8,9","o,N,c,c,c,9","cc,N,a,m","o,x","o,N,9","Z,a,m","cc,c,o,a,Z","cc,o,2",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106v,15,6,,,"8,cc,c,o,a,m","c^c,N,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,1,1,R,7,"P2,cc,8,x,a,Z","c^c,c,o,x,o,Z","9,N,c,c,o,x","4,o,N,cc,9","o,M,o,Z","o,N,c,c,2,o,8,a,Z","M,a,Z,a,i,Z","o,M,c,c,9","o,M,a,m","9,M,a,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,1,2,,,"8,cc,c,9","4,o,M,c,o,2","a,m","c^c,c,8,9","o,M,c,c,8","4,o,Z","a,m","cc,c,o,c,N,c,9","o,x,N,c,c,9","4,o,M,a,n","cc,c,9","4,c,c,c,9","x,o,Z",$,$,$,$,$,$,$,$,$,$,$,$,$
107r,1,3,,,"o,x,cc,c,c,9","c^c,c,o,2","4,o,N,c,c,c,9","9,cc,c,c,8,9","4,o,M,a,n","9,N,a,n","o,N,c,c,9","Z,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,2,1,W,7,"M,c,c,o,8,9","cc,c,8,a,n","4,o,M,c,c,9","4,o,N,a,Z","8,c,c,o","x,M,c,8,9","o,M,a,Z,a,n","cc,o,8,9","o,M,o,N,cc,o","4,o,N,c,8","o,N,cc,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,2,2,,,"o,x,N,cc,c,8,9","M,c,8,9","o,M,c,c,c,9","o,N,cc,c,8,9","4,o,N,c,c,8","4,o,N,c,a,Z","cc,c,8,9","cc,o,N,cc,c,8,9","4,o,N,a,n","a,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,2,3,,,"o,N,cc,c,c,9","4,o,N,c,c,8,9","cc,o,M,cc,c,8,9","8,a,m,a,Z","o,M,c,c,9","x,M,c,c,9","cc,c,8,a,m","o,N,c,c,c,9","o,M,a,m","a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,2,4,,,"9,M,a,m","cc,c,o,M,cc,c,9","o,N,a,m","cc,c,N,c,9","o,N,c,c,8,9","o,M,cc,c,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,3,1,R,7,"M,o,Z,c^c,o,Z","c^c,c,c,c,9","o,M,c,c,o,x","4,o,N,c,c,9","4,o,N,c,8,9","x,N,a,m","4,o,N,a,m","4,o,N,a,Z","a,x","o,N,i,Z,o,x,c?,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,3,2,,,"o,N,o,m","c^c,c,c,9","M,cc,c,o,x","N,a,n","o,N,c,c,9","cc,c,8,9","o,N,c,c,8,9","cc,8,9,N,cc,c,8,9","cc,c,9","N,a,n","a,i?",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,3,3,,,"9,M,c,c,8,9","4,o,N,c,c,8,9","o,N,c,o,x","x,cc,c,8,9","4,o,N,a,x","x,o,Z","c^c,c,a,x","cc,c,c,8,a,m","cc,c,9","2,a,i,Z","a,x,o,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,3,4,,,"cc,c,c,o","cc,c,c,?",x,"4,o,N,a,m","9,M,a,n",9,"N,cc,o,x",x,"o,Z,a,m","o,N,a,m","c,N,a,Z","o,N,a,m","o,M,a,Z,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$
107r,3,5,,,"9,cc,o,x","cc,a,x","x,o,Z,a,n,Z","a,m,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,4,1,W,7,"P2,o,x,cc,x,2","a,m","c^c,c,N,9","4,o,N,a,m","o,P2,cc,a,x","c^c,c,8,9","P2,c^c,c,8,a,m","o,M,o,8,a,x","c^c,c,8,9","o,M,a,Z,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,4,2,,,"c,M,c,c,8,9","x,c^c,c,8,9","cc,c,o,x","cc,c,a,Z","o,Z","a,x,a,Q","cc,M,a,m","o,M,a,Z","a,n","cc,c,9","4,o,N,a,m","o,M,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,4,3,,,"9,cc,o,x","o,m","cc,c,9","4,o,c,N,c,a,x","c^c,a,x","o,M,a,Z,a,m","c^c,c,N,9","o,N,c,c,c,9","Z,a,m","a,i,Z,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,5,1,R,7,"M,o,x,c^c,o,2,o,Z","o,x,N,c,c,8,9","4,o,M,a,m","o,M,a,x,a,Z","o,P2,cc,c,o,x","4,c,c,o,9","c^c,c,9","N,a,i,2","o,M,a,m,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,5,2,,,"2,a,i,Z","cc,c,9","x,o,2,a,m","cc,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,6,1,W,8,"P2,o,a,x,o,2,9","c^c,c,9","M,a,Z","a,c,P2,c,9","P2,a,Z,c^c,c,c,9","P1,o,x","Z,o,x,cc,9","c^c,c,c,9","o,P2,o,x,N,a,m","9,P2,a,m","a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,6,2,,,"o,a,m","o,x","Z,a,Z","c^c,c,c,9","9,x,a,Z","a,m","cc,o,x,a,x","8,9","cc,c,c,o,8,9","o,N,c,c,c,9","cc,c,o,8,a,m","a,x,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,6,3,,,"M,cc,c,o,x","N,cc,c,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,6,1,R,7,"M,a,Z,o,Z","o,x,a,x","o,N,a,n","o,N,a,m","4,o,M,a,x","c^c,a,m","4,o,N,c,o,x","x,N,a,m","o,N,c,c,o","x,N,a,m","a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,6,2,,,"9,N,c^c,c,o,x","o,N,a,m+","c^c,o,c,N,c,9","8,a,m","4,o,M,a,x,a,x","x,c^c,c,8,9","4,o,N,a,x",Z,"a,m+","o,N,a,i,Z","x,x,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,6,3,,,"cc,o,8,a,m","c^c,a,Z","cc,o,8,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,7,1,W,7,"P2,a,x","a,x","cc,N,9","o,N,?,x","cc,c,o,x","N,a,i,2","x,N,a,n","4,o,N,c,c,o","N,a,i,2","8,a,Z","a,m","P2,cc,o,8","x,N,a,m+","o,x,P1,9",$,$,$,$,$,$,$,$,$,$,$,$
107r,7,2,,,9,"cc,c,a,n","cc,a,x","N,a,x","cc,c,8,9","4,o,N,a,m","cc,o,8,9","4,o,N,cc,8,9","4,o,N,a,x","cc,a,Z","cc,8,a,x,a,x","o,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,7,3,,,"o,x,cc,c,o,Z","c^c,c,9","cc,c,c,9","o,x,cc,c,o,x","N,a,m","o,M,a,i,Z","o,N,a,x","cc,c,o,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,8,1,R,7,"P2,9,8,a,Z","a,n,Z,o,Q","4,o,N,n,Z","o,M,a,2","o,P1,cc,c,8,9","4,o,P1,cc,c,8,9","4,o,P1,cc,o,x","cc,N,a,m","cc,P2,a,m","o,Z,o,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,8,2,,,"N,a,Z","a,m","cc,x","cc,o,x,o,Z","c^c,c,c,c,2","a,m","cc,c,c,9","o,M,cc,9","x,N,a,m","9,N,a,m","9,N,a,x","N,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,8,3,,,"o,x,N,c,c,o","x,N,c,c,o","a,Z","c^c,o,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,9,1,W,7,"P2,a,i,Z","a,n,c,N,c,c,8,9","c^c,a,x,N,a,m","N,a,i,2,9","o,N,a,2,a,x","4,o,N,a,m","o,P2,a,i,cc,9","o,P2,a,x","Z,a,Z,9","N,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
107r,9,2,,,"8,a,m","c^c,c,o,x","cc,8,9","o,N,a,m","c^c,c,9,N,a,x","c^c,9","N,x","a,x","N,a,x","cc,8,9",Z,"a,m","cc,a,n","9,o,x,2",$,$,$,$,$,$,$,$,$,$,$,$
107r,9,3,,,"2,a,x,Y,a,Z","c^c,9","4,o,N,a,m","o,N,a,x","4,o,c,N,c,c,8,9","o,N,Z","a,m","o,M,a,Z","4,o,c,M,c,9","Z,o,x,N,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
