folio,side,par,line,,,,,,,,,,,,,,,,,,
106,R,10,4,"9,cc,c,c,o","x,N,a,m","cc,o","Z,o,Z","c^c,c,o,x","N,a,n","c^c,o,Z","2,a,Z","a,n,2,9","c^c,c,o","a,x","N,a,i,Z","a,Q",,,,,
106,R,10,5,"9,c^c,a,Z","cc,N,a,Z","a,m,N,9","Z,a,x","cc,c,o,x","o,Z,a,m",,,,,,,,,,,,
106,R,14,1,"P2,c^c,o,8,a,m","o,P2,cc,9",c^c,o,"M,c,c,o,8,9","c^c,o,M,cc,c,9","9,M,c,c,9","c^c,o,","x,P1,a,n","o,P2,cc,8,9","x,cc,8,9","8,o,x",,,,,,
106,R,14,2,"9,cc,c,o","o,x","cc,c,c,c,9","o,x","a,m","cc,c,o,8,9","x,a,m+","cc,c,N,o,x","cc,c,c,9","o,N,cc,a,Z","a,m","a,x,o,a,x",,,,,,
106,R,14,3,"c^c,a,m","a,Z","a,m","c^c,c,c,9","x,N,a,m","c^c,c,c,8,9","c^c,c,8,9","4,o,N,a,x","cc,c,9","o,N,a,m","cc,8,a,x,8,9",,,,,,,
106,R,14,4,"8,a,i,Z","a,x,c^c,c,o,8","c^c,c,8,9","cc,o,x","cc,c,8,9","cc,c,o,x","c^c,o,Z,9",,,,,,,,,,,
106,V,1,1,"P1,c^c,c,8,a","x,o,a,n","o,P2,a,n,Z,a,x","o,M,c,o,8,a,m","cc,o,P2,cc,9","o,M,a,i,Z","N,a,Z","a,x","a,x,o,Z","a,m","a,x,9","N,a,Z",,,,,,
106,V,1,2,"8,a,m","a,x","c^c,c,c,o,8,a,Z",9,"cc,M,a,n","cc,a,Z","o,M,o,Z","4,o,N,a,Z","o,N,a,Z","c^c,c,8","c^c,c,o","N,co,",Z,"a,n","a,Q","cc,9",,
106,V,1,3,"9,c^c,c,8,a,m","c^c,c,N,c,9","cc,co,N,cc,9","2,a,Z","a,x","cc,o,x","cc,c,8,9","9,M,a,n","o,M,a,Z","a,x","cc,8,9","8,a,x,9","x,o,8,9",,,,,
106,V,1,4,"9,cc,co,M,o","x,c^c,c,o","a,m","cc,c,M,c,9","o,N,a,n","cc,8,a,x","cc,8,a,Q","cc,a,Z","a,Q",,,,,,,,,
106,V,11,1,"P2,cc,o,8,a,m","N,cc,c,c,o,Z","a,x","N,9","c^c,c,M,c,9","o,M,o,2","a,Z","o,8,a,x","P2,cc,c,o,8,9","4,o,M,a,m","o,M,o,Z","a,x,o,8,a,Q",,,,,,
106,V,11,2,"c^c,o,8,9","c^c,o,c,N,c,9","4,o,N,c,c,9","4,o,N,cc,o",x,"N,cc,c,8,9","c^c,8,9","N,cc,c,8,9","cc,c,8,9","4,o,c,N,c,c,9","o,N,a,m","a,x",,,,,,
106,V,11,3,"2,o,x","c^c,c,c,8,9","4,o,N,a,m","cc,o,x,N,a,m",,,,,,,,,,,,,,
107,R,2,1,"M,c,c,o,8,9","cc,c,8,a,n","4,o,M,c,c,9","4,o,N,a,Z","8,c,c,o","x,M,c,8,9","o,M,a,Z","a,n","cc,a,8,9","o,M,o,N,cc,o","4,o,N,c,8","o,N,cc,c,8,9",,,,,,
107,R,2,2,"o,x,N,cc,c,8,9","M,c,8,9","o,M,c,c,c,9","o,N,cc,c,8,9","4,o,N,c,c,8","4,o,N,c,a,Z","cc,c,8,9","cc,o,N,cc,c,8,9","4,o,N,a,n","a,Z",,,,,,,,
107,R,2,3,"o,N,cc,c,c,9","4,o,N,c,c,8,9","cc,o,M,cc,c,8,9","8,a,m","a,Z","o,M,c,c,9","x,M,c,c,9","cc,c,8,a,m","o,N,c,c,c,9","o,M,a,m","a,Q",,,,,,,
107,R,2,4,"9,M,a,m","cc,c,o,M,cc,c,9","o,N,a,m","cc,c,N,c,9","o,N,c,c,8,9","o,M,cc,c,c,9",,,,,,,,,,,,
107,R,4,1,"P2,o,x,cc,x,2","a,m","c^c,c,N,9","4,o,N,a,m","o,P2,cc,a,x","c^c,c,8,9","P2,c^c,c,8,a,m","o,M,o","8,a,x","c^c,c,8,9","o,M,a,Z,a,x",,,,,,,
107,R,4,2,"c,M,c,c,8,9","x,c^c,c,8,9","cc,c,o,x","cc,c,a,Z","a,Z","a,x,a,Q","cc,M,a,m","o,M,a,Z","a,n","cc,c,9","4,o,N,a,m","o,M,a,n",,,,,,
107,R,4,3,"9,cc,a,x","o,m","cc,c,9","4,o,c,N,c,a,x","c^c,a,x","o,M,a,Z","a,m","c^c,c,N,9","o,N,c,c,c,9","Z,a,m","a,i,Z,a,x",,,,,,,
107,R,8,1,"P2,a,x","a,x","cc,N,9","o,N,i,x","cc,c,o,x","N,a,i,Z","x,N,a,n","4,o,N,c,c,o","N,a,i,Z","8,a,Z","a,m","P2,cc,o,x","x,N,a,m+","o,x,P1,2",,,,
107,R,8,2,"9,cc,c,a,n","cc,a,x","N,a,x","cc,c,8,9","4,o,N,a,m","cc,o,8,9","4,o,N,cc,8,9","4,o,N,a,x","cc,a,Z","cc,8,a,x,a,x","o,Q",,,,,,,
107,R,8,3,"o,x,cc,c,o,Z","c^c,c,9","cc,c,c,9","o,x,cc,c,o,x","N,a,m","o,M,a,i,Z","o,N,a,x","cc,c,o","8,9",,,,,,,,,
107,R,10,1,"P2,a,i,Z","a,n,?,N,c,c,8,9","c^c,a,x,N,a,m","N,a,i,Z,9","o,N,a,Z","a,x","4,o,N,a,m","o,P2,a,i,cc,9","o,P2,a,x","Z,a,Z,9","N,9",,,,,,,
107,R,10,2,"8,a,m","c^c,c,o,x","cc,8,9","o,N,a,m","c^c,c,9,N,a,x","c^c,9","N,x","a,x","N,a,x","cc,8,9","Z,a,m","cc,a,n","9,o,x,2",,,,,
107,R,10,3,"2,a,x,Y,a,Z","c^c,9","4,o,N,a,m","o,N,a,x","4,o,c,N,c,c,8,9","o,N,Z","a,m","o,M,a,Z","4,o,c,M,c,9","Z,o,x,N,9",,,,,,,,
107,R,10,4,"9,a,m","cc,c,N,a,n","cc,c,o","N,a,m","cc,c,9","4,o,x","N,a,m+","cc,N,9",x,"cc,c,c,x","x,N,a,Z","o,N,a,x",,,,,,
107,R,12,1,"P2,o,a,Z,a,x","o,Z,a,Z","o,P1,cc,c,9","4,o,M,c,c,8,9","4,o,M,a,m","o,P2,cc,c,8,9","4,o,N,cc,c,9","o,M,x","cc,8,a,n","a,x,9",,,,,,,,
107,R,12,2,"M,a,i,Z","cc,c,o,x","cc,c,o,x","N,cc,c,N,a,n","cc,c,c,a,Z","o,x","o,m","cc,o","x,N,a,n","a,x","o,c,c,8,9","cc,c,9",,,,,,
107,R,12,3,"x,o,x,N,a,m","cc,c,9","4,o,N,a,m","cc,a,x","a,m","o,N,a,m","o,x,N,a,Z","o,M,a,i,Z","o,N,a,x","o,N,a,x",,,,,,,,
107,R,12,4,"4,o,N,a,n","a,Z","o,c,N,c,c,9","4,o,N,a,x","o,M,a,x","o,M,a,Q",,,,,,,,,,,,
107,V,2,1,"M,o,x","c^c,c,o","c,N,c,c,8,9","4,o,M,o,x","cc,8,o,Z","o,M,c,cc,8,9","M,c,o,x","M,c,8,a,m","o,P2,cc,c,8,9","4,o,P2,cc,8,9","9,M,a,Z","a,m,Q",,,,,,
107,V,2,2,"P2,a,m","o,N,a,m","4,o,N,a,i,9","o,x,N,c,c,8,9","4,o,N,c,c,9","4,o,M,a,m","o,N,9","x,N,a,x","o,N,a,m","a,m","4,o,N,a,x","8,9",,,,,,
107,V,2,3,"M,a,m","cc,c,o","c,N,c,9","cc,a,n","4,o,N,a,n",,,,,,,,,,,,,
107,V,6,1,"P2,a,x,a,Z","o,Z","a,i,Z","N,a,x,N,a,x","o,N,a,m","cc,P2,a,x","cc,c,o,8,9","4,o,P2,cc,c,8,9","P2,cc,o,x,N,a,x","o,P2,a,x","N,a,Q",,,,,,,
107,V,6,2,"M,a,m","o,x","N,a,m","cc,o,x","N,cc,c,8,9","4,o,N,o,x","a,n","a,i,Z","N,a,m","o,N,a,x","o,M,a,Z","o,M,a,x","a,x",,,,,
107,V,6,3,"8,a,Z","a,x,o,x","o,x,a,m","o,x,N,a,x","cc,o,x","cc,8,a,Z",,,,,,,,,,,,
107,V,8,1,"N,a,o,x,N,a,Z","N,o,x,N,a,Z","o,N,c,o,x","4,o,N,c,o,Z","a,x","M,o,8,9","o,P2,cc,c,9","o,M,9","a,x","N,9","P2,cc,c,9","Z,a,Q",,,,,,
107,V,8,2,"o,Z,a,m","c^c,c,o,Z","4,o,N,a,n","cc,c,o,8,9","4,o,N,a,n","o,M,a,x","o,M,a,m",o,"x,N,c,c,o",Z,a,Z,"a,x","o,x,8,9",,,,
107,V,8,3,"8,a,x","o,N,a,n","o,N,cc,c,9","4,o,N,c^c,9","o,N,o,x","x,N,c^c,c,8,9","M,a,Z,a,m","c^c,o","4,o,N,a,Z","cc,c,c,9","4,o,N,a,Q",,,,,,,
107,V,8,4,"9,cc,c,o,Z","cc,c,o,x",x,"cc,c,c,8,9","Z,a,Z,a,m",,,,,,,,,,,,,
107,V,12,1,"P2,o,Z,a,m","o,N,a,x","cc,c,8,9","4,o,x,N,c,c,9","x,P2,cc,c,c,8,9","4,o,N,o,x","Z,o,x","N,c,c,8,9","o,N,a,m","o,M,a,Z,9",,,,,,,,
107,V,12,2,"8,a,n","o,N,cc,c,9","4,o,N,cc,c,9","4,o,N,a,m","o,x,N,c,c,9","4,o,N,o,x","o,M,c,c,9","o,M,c,c,9","x,N,a,m",,,,,,,,,
107,V,12,3,"o,N,a,n","cc,c,o,Z","o,x,N,a,m","o,a,n","cc,c,a,Z,9","Z,a,m","o,N,o,m","o,8,a,m","o,N,a,m",9,,,,,,,,
107,V,12,4,"cc,o,N,c,c,9","4,o,N,c,9","4,o,N,a,m","x,o,Z","o,m","a,n,x,9",,,,,,,,,,,,
108,R,1,1,"M,c,o,8,c,c,a,Z","4,o,P2,cc,c,M,9","o,N,c,c,o,x,9","o,N,cc,8,P2,cc,9","M,o,8,a,c^c,Y","o,P2,a,2","9,o","x,P2,a,i,Z","a,8,9","o,M,c,8,9","N,c,8,9,8,9",,,,,,,
108,R,1,2,"4,o,N,c,c,8,9","cc,o,N,c,8,9","cc,o,c,N,c,c,8","4,o,N,c,o,Z","c^c,c,8,9","o,M,a,x","o,M,a,m","o,M,c,8,9","4,o,N,c,cc,9","o,P1,cc,8,9","4,o,8,9",,,,,,,
108,R,1,3,"cc,c,o,8,cc,9","4,o,M,c,a,Z","o,N,c,8,9","o,M,c,a,x","x,N,c,8,a,x","o,N,c,8,9","o,M,c,8,9","o,N,c,8,a,x","cc,c,N,c,c,8,9","cc,o,N,c,8","a,x",,,,,,,
108,R,1,4,"9,cc,c,8,a,m","c^c,N,9","cc,8,9","o,M,c,c,o,8,9","cc,c,8","o,Z","c^c,c,c,N,9",,,,,,,,,,,
108,R,2,1,"M,cc,o,N,c,8,9","cc,c,9","o,M,c,c,9","o,N,c,c,9","x,N,c,8,c^c,c,8,9","o,N,cc,c,c,P1",9,"P2,cc,o,P1,a,Z","cc,c,o","P2,cc,c,8,9","4,o,M,c,8,9","o,M,o,x",,,,,,
108,R,2,2,"o,x","cc,c,o,x","4,o","4,o,N,c,c,9","4,o,N,c,c,9","4,o,N,c,c,8,9","c^c,c,o,N,9","o,M,c,8,9","4,o,M,c,9","4,o,N,cc,c,9","cc,8,a,Z","a,m",9,,,,,
108,R,2,3,"o,N,c,c,c,9","o,N,c,8,9","4,o,N,cc,c,8,9","cc,c,8,9","4,o,N,c,8,9","o,N,a,Z","cc,8,9","o,N,a,Z","cc,a,Z","cc,N,a,m","cc,2,9",,,,,,,
108,R,4,1,"M,c,o,8,c,c,9","a,Z","a,m","o,N,c,c,9","4,c,M,cc,8,9","o,M,c,c,o,8,9","o,N,a,m","9,N,c,c,o","8,a,n","o,M<a,x","a,m","o,x,9",,,,,,
108,R,4,2,"M,c^c,c,9","o,N,cc,c,9","8,a,n","a,x,a,m",o,"cc,c,c,9","4,o,N,a,m","cc,x,a,Q","o,N,a,m","o,N,a,x","N,a,n","a,x,o,Q",,,,,,
108,R,4,3,"9,N,c,c,9","Z,a,m","a,Z","a,i,x",o,"8,a,m",,,,,,,,,,,,
108,R,5,1,"P2,o,x,cc,a,x","c^c,o,x","4,o,N,a,Z","c^c,c,8,9","P2,cc,o,x,9","4,o,N,a,x","o,P2,cc,8,9","o,P1,a,x","c^c,o,Z","4,o,N,a,m","o,M,a,x,o,8",,,,,,,
