MARC ID,URL,Publication Date,Title,Image Set ID,Publication Type,Collection,Author,Publisher,Publication Country,Publication Language,Accession Number,Source Library,Full Text - Image,Full Text,USTC Classification,Release Date
99853990,https://search.proquest.com/eebo/docview/2240918767,1479,[Libri ethicorum],19395,Book,"Early English Books, 1475-1640 (STC)","Aristotle.|Bruni, Leonardo, 1369-1444.",[By Theodore Rood],England,Latin,Duff 32|STC (2nd ed.) / 752,Yale Center for British Art,Y,N,Philosophy and morality,10/1/19
99898583,https://search.proquest.com/eebo/docview/2240889823,1479,[Horae ad usum Sarum],173266,Book,"Early English Books, 1475-1640 (STC)",Anon.|Catholic Church.,W. Caxton,England,Latin,STC (2nd ed.) / 15868,British Library,Y,N,Religious,10/1/19
21832982,https://search.proquest.com/eebo/docview/2264189919,1480,[Indulgences issued to raise money to fight the Turks or to ransom captives],24911,Book,"Early English Books, 1475-1640 (STC)",Anon.,W. Caxton,England,Latin,STC (2nd ed.) / 14077c.110,"Trinity College Library, University of Cambridge",Y,Y,Religious|History and chronicles,10/1/19
99836515,https://search.proquest.com/eebo/docview/2240912856,1480,[Explicit liber primus de curia sapiencie],793,Book,"Early English Books, 1475-1640 (STC)","Anon.|Lydgate, John, 1370?-1451?",Printed by William Caxton,England,English,Duff 260|STC (2nd ed.) / 17015,British Library,Y,Y,Poetry,10/1/19
99840546,https://search.proquest.com/eebo/docview/2240892893,1480,Fratris laurencij guilelmi de saona ordiuis [sic] mino[rum] sacre theologie doctoris prohemiu[m] in nouam rethoricam,5059,Book,"Early English Books, 1475-1640 (STC)","Traversagni, Lorenzo Guglielmo, 1425-1503.",S.n.,England,Latin,Duff 369|STC (2nd ed.) / 24190,Bodleian Library,Y,N,Dialectics and rhetoric,10/1/19
99842234,https://search.proquest.com/eebo/docview/2248591254,1480,Here endeth the discripcion of Britayne ...,6873,Book,"Early English Books, 1475-1640 (STC)","Higden, Ranulf, d. 1364.|Trevisa, John, d. 1402.",Printed by William Caxton,England,English,"Duff 113|GW 6670(II)|Needham, P.  Printer & the pardoner, Cx 40|STC (2nd ed.) / 13440a",British Library,Y,N,"Travel, topography, maps and navigational manuals",10/1/19
99842237,https://search.proquest.com/eebo/docview/2240875522,1480,"In the yere of thyncarnacion of our lord Ih[es]u crist M.CCCC.lxxx. and in the xx. yere of the regne of kyng Edward the fourthe, atte requeste of dyuerce gentilmen I haue endeauourd me to enprinte the cronicles of Englond as in this booke shall by the suffraunce of god folowe ...",6877,Book,"Early English Books, 1475-1640 (STC)","Anon.|Caxton, William, ca. 1422-1491.",Printed by William Caxton,England,English,"Duff 97|Hain-Copinger 5000|Needham, P.  Printer & the pardoner, Cx 39|STC (2nd ed.) / 9991",The Huntington Library,Y,Y,History and chronicles,10/1/19
99842290,https://search.proquest.com/eebo/docview/2248579732,1480,hEre endeth the book named the dictes or sayengis of the philosophres enprynted. by me william Caxton at westmestre the yere of our lord .M.CCCC.Lxx vij. Whiche book is late translated out of Frenshe into englyssh. by the noble and puissant lord Lord Antone Erle of Ryuyers lord of Scales ...,6934,Book,"Early English Books, 1475-1640 (STC)","Anon.|Mubashshir ibn Fātik, Abū al-Wafāʼ, 11th cent.|Rivers, Anthony Woodville, Earl, 1442?-1483.|Caxton, William, ca. 1422-1491.",Printed by William Caxton,England,English,"Duff 124|GW 8322|Needham, P.  Printer & the pardoner, Cx 38|STC (2nd ed.) / 6828",British Library,Y,Y,"Philosophy and morality|Adages, aphorisms, emblem books, jests, proverbs",10/1/19
99845241,https://search.proquest.com/eebo/docview/2240909225,1480,Here endeth this doctrine at Westmestre by london in fourmes enprinted. In the whiche one euerich may shortly lerne. Frenssh and englissh ...,10129,Book,"Early English Books, 1475-1640 (STC)","Anon.|Caxton, William, ca. 1422-1491",[Printed by William Caxton,England,English,"Duff 405|Hain-Copinger 15607|Needham, P.  Printer & the pardoner, Cx4|STC (2nd ed.) / 24865",The Huntington Library,Y,Y,"Dictionaries, vocabularies, phrase books, instruction in foreign languages",10/1/19
99854102,https://search.proquest.com/eebo/docview/2240901728,1480,[[V]trum celi circuiuiosla. ecciastici xxiii.],19509,Book,"Early English Books, 1475-1640 (STC)","Andreae, Antonius, d. ca. 1320.|Penketh, Thomas.",Per me Iohannem lettou ad expensas Wilhelmi Wilcock impresis,England,Latin,Duff 26|STC (2nd ed.) / 581,Cambridge University Library,Y,N,Philosophy and morality,10/1/19
