line,0,1,swap,n,n2
66r.9.2,"8,a,x","8,o,x",a → o,15,3
78v.1.2,"8,a,x","8,o,x",a → o,15,3
81v.1.2,"a,x","o,x",a → o,15,2
107r.10.2,"a,x","o,x",a → o,15,2
17v.1.13,"cc,a,x","cc,o,x",a → o,15,1
96v.1.2,"9,M,c,a,Z","9,M,c,o,Z",a → o,15,1
108v.15.2,"cc,c,a,x","cc,c,o,x",a → o,15,1
10v.1.2,"8,a,n","8,a,m",n → m,14,9
32r.1.3,"8,a,n","8,a,m",n → m,14,9
32r.1.4,"8,a,n","8,a,m",n → m,14,9
32r.2.8,"8,a,n","8,a,m",n → m,14,9
32v.1.3,"8,a,n","8,a,m",n → m,14,9
37r.3.4,"8,a,n","8,a,m",n → m,14,9
38v.1.6,"8,a,n","8,a,m",n → m,14,9
84v.3.8,"8,a,n","8,a,m",n → m,14,9
102ra.3.3,"8,a,n","8,a,m",n → m,14,9
80r.6.1,"o,N,a,n","o,N,a,m",n → m,14,2
107r.6.1,"o,N,a,n","o,N,a,m",n → m,14,2
85v.4.13,"4,o,N,a,n","4,o,N,a,m",n → m,14,1
95ra.2.2,"cc,8,a,n","cc,8,a,m",n → m,14,1
95vb.3.2,"cc,c,8,a,n","cc,c,8,a,m",n → m,14,1
34r.3.5,"o,Z","a,Z",o → a,13,5
40r.1.6,"o,Z","a,Z",o → a,13,5
50r.1.4,"o,Z","a,Z",o → a,13,5
76r.1.4,"o,Z","a,Z",o → a,13,5
115r.7.3,"o,Z","a,Z",o → a,13,5
3v.1.5,"cc,o,Z","cc,a,Z",o → a,13,3
15v.1.5,"cc,o,Z","cc,a,Z",o → a,13,3
27r.1.4,"cc,o,Z","cc,a,Z",o → a,13,3
34r.3.5,"o,x","a,x",o → a,13,2
58v.2.4,"o,x","a,x",o → a,13,2
19v.2.6,"9,M,o,Z","9,M,a,Z",o → a,13,1
30v.1.3,"8,o,m","8,a,m",o → a,13,1
80v.2.3,"M,o,x","M,a,x",o → a,13,1
76v.2.2,"4,o,N,c,c,9","4,o,N,c,8,9",$ → 8,11,9
78r.2.22,"4,o,N,c,c,9","4,o,N,c,8,9",$ → 8,11,9
79v.3.3,"4,o,N,c,c,9","4,o,N,c,8,9",$ → 8,11,9
83r.3.3,"4,o,N,c,c,9","4,o,N,c,8,9",$ → 8,11,9
83r.4.1,"4,o,N,c,c,9","4,o,N,c,8,9",$ → 8,11,9
107r.3.1,"4,o,N,c,c,9","4,o,N,c,8,9",$ → 8,11,9
111r.3.1,"4,o,N,c,c,9","4,o,N,c,8,9",$ → 8,11,9
