folio,par,line,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26
,R8,2,"M,a,x","cc,c,9","x,cc,c,o,Z","c^c,c,o,x","4,o,N,a,m","o,x,N,a,8,9","o,N,a,Z","a,Z","o,x,N,a,n","o,8,a,n",,,,,,,,,,,,,,,,
,12,1,"P2,o,Z,a,m","o,N,a,x","cc,c,8,9","4,o,x,N,c,c,9","x,P2,cc,c,c,8,9","4,o,N,o,x","Z,o,x","N,c,c,8,9","o,N,a,m","o,M,a,Z,9",,,,,,,,,,,,,,,,
,W7,2,"8,a,n","o,N,cc,c,9","4,o,N,cc,c,9","4,o,N,a,m","o,x,N,c,c,9","4,o,N,o,x","o,M,c,c,9","o,M,c,c,9","x,N,a,n",,,,,,,,,,,,,,,,,
,,3,"o,N,a,n","cc,c,o,Z","o,x,N,a,m","o,a,n","cc,c,a,Z,9","Z,a,m","o,N,o,m","o,8,a,m","o,N,a,m",9,,,,,,,,,,,,,,,,
,,4,"cc,o,N,c,c,9","4,o,N,c,9","4,o,N,a,m","x,o,Z","o,m","a,n,x,9",,,,,,,,,,,,,,,,,,,,
,13,1,"P2,o,N,a,Z","a,Z","N,c,c,9","o,N,c,c,o",x,"cc,c,c,9","4,o,N,cc,?","o,M,c,c,9","x,N,c,c,o,x","x,N,c,c,8,9","4,o,N,c,c,9","x,N,a,n",,,,,,,,,,,,,,
,R7,2,"o,Z,a,n","o,x,o,c,c,c,9","4,o,N,a,n",,,,,,,,,,,,,,,,,,,,,,,
,14,1,"P2,o,x","N,c,c,c,o","N,a,n,2","4,o,N,c,c,9","cc,c,N,c,9","x,N,cc,a,x,9","x,N,c,c,9","o,P2,cc,c,9","Z,a,Z","a,m","cc,c,o,N,a,x,9",,,,,,,,,,,,,,,
,W8,2,"N,a,?,cc","o,x,a,i,Z","a,Z,o,8,9","4,o,N,c,c,9","4,o,N,c,c,9",,,,,,,,,,,,,,,,,,,,,
,15,1,"P2,o,Z,a,n","o,N,a,n","o,N,c,cc,8,9","8,a,x","N,c,c,c,8,a,x","c^c,c,8,9","o,N,c,c,o,x","N,cc,c,c,9","x,N,a,Z","a,m","a,x",,,,,,,,,,,,,,,
,R8,2,"2,o,a,n","a,m","cc,c,9","4,o,x,a,m","a,x","cc,c,8,9","N,c,8,9","4,o,M,c,c,9","o,M,c,c,9","4,o,N,c,c,9","x,N,a,?",,,,,,,,,,,,,,,
,,3,"9,cc,c,c,9","4,o,N,c,c,9","o,N,c,o,M,c,c,9","4,o,N,c,9","4,o,N,c,9","4,o,N,c,c,9","8,a,m",9,"o,N,c,c,9","o,8,a,?",,,,,,,,,,,,,,,,
,,4,"o,M,c,c,8,9","4,o,N,c,9","4,o,N,c,c,8,9","cc,o,8,9","cc,c,9","4,o,N,9","o,M,c,c,9","o,M,a,n","cc,c,9","a,m,a,x",,,,,,,,,,,,,,,,
,,5,"9,cc,c,o,2,a,m","o,c,N,c,9","cc,c,9","4,o,N,c,c,9","9,cc,c,c,9","8,9","4,o,9",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108r,1,1,"M,c,o,8,c,c,o,Z","4,o,P2,cc,c,M,9","o,N,c,c,o,x,9","o,N,cc,8,P2,cc,9","M,o,8,a,c^c,Y","o,P2,a,Z","9,o","x,P2,a,i,Z","o,8,9","o,M,c,8,9","N,c,8,9,8,9",,,,,,,,,,,,,,,
,W7,2,"4,o,N,c,c,8,9","cc,o,N,c,8,9","cc,o,c,N,c,c,8","4,o,N,c,o,Z","c^c,c,8,9","o,M,a,x","o,M,a,m","o,M,c,8,9","4,o,N,c,cc,9","o,P1,cc,8,9","4,o,8,9",,,,,,,,,,,,,,,
,,3,"cc,c,o,8,cc,9","4,o,M,c,a,Z","o,N,c,8,9","o,M,c,a,x","x,N,c,8,a,x","o,N,c,8,9","o,M,c,8,9","o,N,c,8,a,x","cc,c,N,c,c,8,9","cc,o,N,c,8,a,x",,,,,,,,,,,,,,,,
,,4,"9,cc,c,8,a,m","c^c,N,9","cc,8,9","o,M,c,c,o,8,9","cc,c,8,o,Z","c^c,c,c,N,9",,,,,,,,,,,,,,,,,,,,
,2,1,"M,cc,o,N,c,8,9","cc,c,9","o,M,c,c,9","o,N,c,c,9","x,N,c,8,c^c,c,8,9","o,N,cc,c,c,P1",9,"P2,cc,o,P1,a,Z","cc,c,o","P2,cc,c,8,9","4,o,M,c,8,9","o,M,o,x",,,,,,,,,,,,,,
,W7,2,"o,x","cc,c,o,x","4,o","4,o,N,c,c,9","4,o,N,c,c,9","4,o,N,c,c,8,9","c^c,c,o,N,9","o,M,c,8,9","4,o,M,c,9","4,o,N,cc,c,9","cc,8,a,Z","a,m",9,,,,,,,,,,,,,
,,3,"o,N,cc,c,9","o,N,c,8,9","4,o,N,cc,c,8,9","cc,c,8,9","4,o,N,c,8,9","o,N,a,Z","cc,8,9","o,N,a,Z","cc,a,Z","cc,N,a,m","cc,2,9",,,,,,,,,,,,,,,
,3,1,"P2,o,cc,c,8,9","c^c,9","c^c,o,N,c,c,8,a,Z","a,x","N,c,8,a,x","cc,o,N,cc,9","4,o,N,a,Z",cc,"o,N,c,c,9","4,a,m","o,N,c,c,8,9","4,c,M,a,Q",,,,,,,,,,,,,,
,R7,2,"c,M,c,c,9","cc,c,8,a,n","cc,c,8,9","o,N,c,8,9","x,N,c,8,9","Z,a,Z,a,m","4,o,M,a,Z","o,M,a,x","N,c,8,9","a,Z","a,i,Z",o,"c,N,c,c,8,9",,,,,,,,,,,,,
,,3,"M,a,m","c^c,N,c,c,8,9","4,o,M,c,c,9","o,M,c,c,9","9,M,c,o,x","9,N,c,c,8,9","cc,c,N,a,Z","4,o,N,c,c,o","8,a,m","o,N,c,9,M,0","o,8,9",,,,,,,,,,,,,,,
,4,1,"M,c,o,8,c,c,9","a,Z","a,m","o,N,c,c,9","4,c,M,cc,8,9","o,M,c,c,o,8,9","o,N,a,m","9,N,c,c,o","8,a,n","o,M,a,x,a,m","o,x,9",,,,,,,,,,,,,,,
,W7,2,"M,c^c,c,9","o,N,cc,c,9","8,a,n","a,x,a,m",o,"cc,c,c,9","4,o,N,a,m","cc,x,a,Q","o,N,a,m","o,N,a,x","N,a,n","a,x,a,Q",,,,,,,,,,,,,,
,,3,"9,N,c,c,9","Z,a,m","a,Z","a,i,x",o,"8,a,m",,,,,,,,,,,,,,,,,,,,
,5,1,"P2,o,x,cc,a,x","c^c,o,x","4,o,N,a,Z","c^c,c,8,9","P2,cc,o,x,9","4,o,N,a,x","o,P2,cc,8,9","o,P1,a,x","c^c,o,Z","4,o,N,a,m","o,M,a,x,o,8",,,,,,,,,,,,,,,
,W7,2,"o,Z,a,n","cc,c,c,9","cc,c,9","4,o,N,c,c,9","cc,c,8,9","o,N,cc,c,8,9","4,o,c,c,8,9","4,o,c,N,c,c,9","8,n,Z","a,m","o,N,a,n",,,,,,,,,,,,,,,
,,3,"2,a,c,M,c,9","o,x,N,a,m","cc,c,N,c,9","8,a,m","8,a,x","8,a,m",,,,,,,,,,,,,,,,,,,,
,6,1,"P1,cc,c,o,N,a,i,Z","o,N,c,8,a,m","cc,c,8,9","4,o,N,c,c,8","o,N,a,n","cc,8,9","x,a,m","o,P1,a,Z","cc,c,8,9","M,c,8,a,Q",,,,,,,,,,,,,,,,
,W7,2,"o,N,c,c,8,9","x,N,a,x","8,a,m","9,N,cc,c,8,9","4,o,N,o,x","cc,c,8,9","4,o,N,c,8,9","x,N,c,8,9","o,N,a,x,o,x","cc,c,8,x,9",,,,,,,,,,,,,,,,
,,3,"8,cc,c,8,9","o,N,c,c,8,a,Z","c^c,cc,9","o,N,o,x","N,c,8,9","o,N,c,c,8,9","cc,a,x","Z,a,m","o,M,c,8,9","cc,M,a,x","o,Q",,,,,,,,,,,,,,,
,,4,"8,a,n","cc,c,9","4,o,N,c,c,8,9","cc,o,x","cc,c,c,9","8,a,x,N,a,Z","o,N,c,8,9",,,,,,,,,,,,,,,,,,,
,7,1,"4,o,x,c^c,9","4,o,c,c,8,9","x,N,c,a,x","c^c,c,8,9","c^c,o,N,a,x","N,c,c,8,9","4,o,M,c,8,9","4,o,P2,cc,c,8,9","o,M,a,x","8,N,c,8,a,Q",,,,,,,,,,,,,,,,
,R7,2,"8,cc,c,o,x","c^c,o,x","8,a,x","4,o,N,a,m","o,M,a,x","o,x","c^c,c,8,9","4,o,N,c,9","cc,c,9","x,o,Z","a,m","o,N,c,c,a,Q",,,,,,,,,,,,,,
,,3,"9,N,c,c,o,x","cc,c,9","o,N,a,n","cc,a,Z,a,n",,,,,,,,,,,,,,,,,,,,,,
,8,1,"P1,o,x,a,m","c^c,N,c,9","4,o,N,a,x","x,N,c,8,9","4,o,M,c,8,9","4,o,N,c,8","4,o,M,c,8,9","o,N,a,x","cc,8,a,Z","a,x","cc,a,Z","a,m",,,,,,,,,,,,,,
,W7,2,"9,cc,c,c,o,Z","a,m","o,N,c,c,9","cc,c,o,x","cc,c,8,9","o,P2,cc,2,8","o,P2,cc,c,8,9","a,x,N,c,8,9","a,x","x,N,c,a,Q","o,x","Z,a,n","a,x",,,,,,,,,,,,,
,,3,"8,a,i,2","o,N,a,x","cc,c,8,9","4,o,N,c,c,8,9","o,M,c,o,Z","a,x","4,o,N,c,8,9","4,o,N,c,8,9","o,M,a,m","o,M,c,8,a,Z","cc,a,x,N,c,c,8,9",,,,,,,,,,,,,,,
,,4,"9,cc,c,8,a,n","o,Z,cc,c,o,Z,9","4,o,a,m","o,N,c,c,9","4,o,N,c,c,9","cc,8,a,x","o,N,c,8,9","4,o,N,c,8,9","o,N,c,8,a,Q","cc,8,9",,,,,,,,,,,,,,,,
,,5,"2,a,n","a,Z,o,x,N,c,c,9","4,o,a,x","o,x,N,c,8,9","o,N,a,m",,,,,,,,,,,,,,,,,,,,,
,9,1,"P2,o,x,cc,c,8,9","o,N,c,8,9","4,o,P2,cc,c,8,9","o,N,c,o,x,N,c,9","M,c,c,8,9","4,o,M,a,m","o,M,c,8,9","o,N,c,c,8,9","o,M,c,8,a,Q",,,,,,,,,,,,,,,,,
,W7,2,"9,N,c,a,x","cc,c,8,a,x","cc,o,N,c,8,9",o,"4,o,N,c,8,9","o,N,cc,c,8,9","2,a,m","a,x,N,a,i",,,,,,,,,,,,,,,,,,
,10,1,"N,c,o,x","c^c,c,o,8,9","4,o,N,c,8,9","4,o,N,c,c,8,9","4,o,N,o,9","4,o,M,c,8,9","o,M,c,8,9","4,o,N,c,8,9","4,o,N,c,8,9","4,o,N,a,x",,,,,,,,,,,,,,,,
,R7,2,"9,N,c,8,a,Z","cc,c,8,9","4,o,N,c,9","x,N,c,c,8,9","o,M,c,8,9","o,N,c,8,9","o,M,c,8,9","o,M,a,x","c^c,o,x","a,x,o,8,a,Z","o,Z","a,x,o,x,8",,,,,,,,,,,,,,
,,3,"2,a,x,N,c,8,9","o,N,cc,8","4,o,N,c,8,9","o,N,c,8,9","o,N,c,o,x","cc,8,9","o,N,a,Z","o,N,c,8,9","o,N,c,8,9","cc,x,a,Z",,,,,,,,,,,,,,,,
,,4,"9,cc,c,o,x","cc,c,N,c,9","4,o,N,c,8,9","o,N,a,n",,,,,,,,,,,,,,,,,,,,,,
,11,1,"P2,9,cc,o,Z,9","o,P2,cc,c,9","x,N,c,o,x","cc,8,a,Z","c^c,c,8,9","4,o,P1,cc,8,9","o,P2,a,x,a,x","cc,c,c,8,9","4,o,N,a,x,cc,8,9","o,P2,cc,8,9",,,,,,,,,,,,,,,,
,W7,2,"o,N,c,cc,9","o,N,c,o,x","o,N,c,c,8,9","cc,c,c,8,a,Z","o,N,c,8,9","4,o,M,a,x","cc,8,9","cc,c,8,a,x","cc,c,8,9",,,,,,,,,,,,,,,,,
,12,1,"M,cc,c,8,9","4,o,N,c,9","o,N,c,c,9","x,N,c,c,9","cc,c,8,9","cc,c,o,N,c,c,9","4,o,N,c,c,9","cc,c,8,x,a,x","x,N,a,i,Z","a,x,N,c,c,8,9","Z,a,Q",,,,,,,,,,,,,,,
,R7,2,"8,cc,c,c,o,8,9","cc,c,c,8,9","4,o,N,c,c,8,9","o,M,c,8,9","4,c,c,c,9","cc,c,9?",,,,,,,,,,,,,,,,,,,,
,13,1,"P2,o,Z,o,x","M,c,8,o","x,cc,8,a,n","4,o,N,a,Z","o,M,c,8,9","o,M,a,Z,a,Z","9,M,9","c^c,o","4,o,M,c,8,9","o,M,c,c,8,9","o,N,c,8,9",,,,,,,,,,,,,,,
,W7,2,"o,N,o,Z,a,m","o,N,c,c,8,9","4,o,N,c,c,8,9","o,N,c,c,o,Q","cc,c,9,N,c,c,c,8","cc,o,x","4,c,N,c,c,9","o,Z","a,m","cc,c,N,c,o,Q",,,,,,,,,,,,,,,,
,14,1,"c^c,c,c,8,a,n","4,o,N,c,c,8,9","cc,o,N,c,c,8,9","4,o,M,c,o,8,9","N,c,c,c^c,o","8,a,m","cc,c,8,9","N,c,c,8,a,x","a,Z","N,co,8,N,9",,,,,,,,,,,,,,,,
,W7,2,"o,N,c,c,9","4,o,N,c,c,9","4,o,N,c,c,8,9","4,o,N,c,c,9","cc,c,8,a,x","cc,c,8,9","4,o,N,c,c,9","o,N,c,c,8,a,n","o,M,a,n",o,"o,x","a,x,2",,,,,,,,,,,,,,
,,3,"o,x,N,c,c,9","o,N,c,9","x,o,N,c,c,9","4,o,N,c,8,9","o,x","N,c,cc,9","cc,c,8,a,Z","o,x,a,x","o,c?,8,9","4,c,N,c,8","c,8?,c,a,Q",,,,,,,,,,,,,,,
,,4,"9,cc,c,9","cc,c,9","o,N,a,Z","cc,a,Z,a,Q","o,M,a,Q","cc,c,o,8,9",,,,,,,,,,,,,,,,,,,,
,15,1,"8,a,n","c^c,c,c,M,c,9","o,N,c,c,9","N,c,c,9",x,"cc,c,8,9","o,N,c,c,9","4,o,N,c,8,9","cc,c,8,9","8,a,x,N,c,8,9","4,o,N,c,8,9","8,a,x",,,,,,,,,,,,,,
,W7,2,"9,M,c,c,8,9","4,o,N,c,c,8,9","4,o,N,c,9","o,M,c,8,9","o,N,c,8,9","4,o,N,a,m","cc,c,o,8,a,Z","cc,c,c,9","4,o,N,c,8,9","a,x",,,,,,,,,,,,,,,,
,,3,"9,cc,c,8","cc,o","c,N,c,c,8","8,a,n","c^c,c,o,x","o,N,c,8,9","x,N,c,c,8,9","o,M,c,c,8,9","4,o,N,c,c,8,9","cc,c,8","a,x","N,c,a,i,Q",,,,,,,,,,,,,,
,16,1,"P2,cc,c,c,8,9","4,o,N,c,o",x,"o,N,c,o,x","N,c,o,x","8,a,n","a,Z","o,M,c,8,9","4,o,N,c,8,9","4,o,N,c,c,8,9","4,o,N,c,c,8,9","x,cc,8,9",,,,,,,,,,,,,,
,R7,2,"o,M,c,c,8,9","x,cc,c,8,9","4,o,N,c,c,8,9","4,o,N,c,c,8,9","4,o,N,c,o","x,cc,c,8,9","4,o,N,c,9","4,o,N,c,c,9","x,N,c,8,9","x,N,c,8,9",,,,,,,,,,,,,,,,
,,3,"4,o,N,c,c,8,9","x,cc,c,8,9","x,N,a,m","cc,8,9","4,o,N,c,9","o,N,c,8,9","o,N,a,Z,a,Q","cc,8,a,2","o,Z","o,N,a,Q",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108v,1,1,"P2,cc,c,8,a,x","4,o,N,c,c,8,a,Z","o,M,c,8,9","4,o,N,c,c,8,9","x,N,9","x,M,a,x","a,m","o,M,c,o","P1,cc,c,c,9","o,M,c,8,a,Z","a,Q","o,x",,,,,,,,,,,,,,
,R7,2,"8,a,m","c^c,a,x","4,o,N,c,8,9","4,o,c,c,cc,9","o,N,a,n","o,M,c,c,9","cc,c,c,N,c,9","x,N,c,c,8,9","4,o,N,c,c,8,a,Z",a,Z,"a,m","o,N,a,Q",,,,,,,,,,,,,
,,3,"2,c^c,c,c,8,a,x","o,x","x,N,c,8,9","x,N,c,c,8,9","cc,c,8,a,x,N,c,8,9","x,N,c,c,8,9","4,o,N,c,cc,c,8,9","o,M,c,8,a,n","o,N,c,c,9","x,o,x",,,,,,,,,,,,,,,,
,,4,"8,cc,c,8,9","c^c,c,8,9","4,o,N,c,c,8","4,o,M,c,8,9","4,o,M,c,c,8,9","a,2,a,n","a,x","N,c,c,8,9",,,,,,,,,,,,,,,,,,
,2,1,"P2,o,x,a,m","o,N,c,8,a,n","o,N,a,x","o,M,cc,c,8,9","4,o,N,c,c,8,9","Z,a,Z,a,m",o,"N,c,c,8,9","4,o,N,a,Z","4,o,N,a,x","8,a,Q",,,,,,,,,,,,,,,
,W7,2,"o,c,c,c,8,a,n","cc,c,9","x,o,N,c,c,9","x,o,c,c,8,9","x,o,c,M,9","4,o,N,c,c,8,9","4,o,N,c,c,9","4,o,N,a,Z","o,N,c,c,8,9","N,c,8,a,Z,Y,9",,,,,,,,,,,,,,,,
,3,1,"P2,cc,c,8,a,m","o,N,c,8,9","o,M,c,8,a,x","x,N,c,8,c,c,8","o,N,c,8,a,Z","o,N,c,c,9","4,o,M,c,o,x","x,N,c,8,9","o,M,c,9","2,a,m","a,Q",,,,,,,,,,,,,,,
,R8,2,"9,c^c,c,c,8,9","o,N,c,c,8,9","o,M,c,c,8,9","4,o,N,c,c,8,9","o,N,c,c,8,9","o,N,c,c,8,9","cc,c,8,a,x","o,N,a,Z","4,o,M,c,c,8,o,Z","o,M,9",,,,,,,,,,,,,,,,
,,3,"4,o,N,c,c,o","8,a,x","cc,c,8,a,Q","cc,x,a,x","o,N,a,x,8,a,m","c^c,c,c,8","x,cc,c,8,9","x,N,c,c,8,9","cc,c,8,N,c,x","c,M,c,8,9",,,,,,,,,,,,,,,,
,,4,"o,x","cc,c,c,9","x,c,c,8,a,m","c^c,c,N,c,a,m","o,N,c,a,x",o,"N,a,Z","a,Z,a,x,o,z,o,Q","c^c,c,c","N,a,c,M,c,9","cc,c,c,M,c,a,Q",,,,,,,,,,,,,,,
,,5,"2,a,n","a,x","N,c,c,8,a,n","o,x,N,c,c,c,8","4,o,N,c,8,9","x,N,c,c,8,9","cc,o,x,N,a,n","o,M,c,c^c,9","c^c,c,8,9","8,c,c,8,9",,,,,,,,,,,,,,,,
,4,1,"M,c^c,c,8,N,9","c^c,c,c,N,c,9","a,N,c,9","c^c,c,c,9","M,c,c,o,8,9","4,o,N,c,8,9","4,o,N,c,c,8,9","c^c,o,N","a,Z","a,m","o,N,c,c,9","M,c,8,a,Q",,,,,,,,,,,,,,
,W8,2,"8,a,m","cc,c,o,x","4,o,N,c,c,9","4,o,N,c,c,8,9","4,o,N,c,c,9","Z,a,m","cc,c,N,c,9","o,N,c,c,9","4,o,N,c,c,8,9","o,N,c,8,a,n","a,x,8,a,Z?",,,,,,,,,,,,,,,
,,3,"4,o,N,c,c,9","x,o",Z,"a,m","cc,c,9","N,c,c,a,Z","a,Z,a,x","o,x,a,m","cc,c,8,9",,,,,,,,,,,,,,,,,
,5,1,"P2,cc,c,o,Z","o,N,c,a,Z","c^c,c,c,9","4,o,N,c,c,9","9,N,c,c,a,x,N,c,9","Z,a,Z,a,m","o,P2,c^c,o,x,a,x","c^c,c,8,9","o,P1,a,Z,o,Q?,o,N,9",,,,,,,,,,,,,,,,,
,R7,2,"o,N,c,c,9","x,c^c,c,9","4,o,N,c,c,a,x","x,N,c,c,9","o,N,c,o,x","o,N,c,8,9","4,o,M,a,x","c^c,o,x,N,c,c,8,9","cc,c,8,9","4,o,N,a,n","M,c,c,8,a",,,,,,,,,,,,,,,
,,3,"4,o,N,c,c,9","x,N,c,c,8","cc,c,8,9","4,o,N,c,c,o,2","c^c,c,o,x","M,c,8,9","4,o,P2,cc,8,9","4,o,N,c,c^c,8,9","N,c,8,a,Z","o,M,a,x","Z,a,Z,a,Q",,,,,,,,,,,,,,,
,,4,"o,N,c,c,9","x,N,c,c,8,9","o,N,c,a,x","o,N,c,9","cc,c,9,N,c,8,9","4,c,c,c,8,9","x,o","Z,a,i,2","cc,c,c,9","o,x",x,2,"a,m","a,Q",,,,,,,,,,,,
,,5,"4,o,N,c,c,o,x","o,x","cc,c,c,c,9","x,cc,c,a,Q",,,,,,,,,,,,,,,,,,,,,,
,6,1,"P2,o,x,N,c,c,8,a,x","c^c,c,o","N,cc,c,9","x,o,M,c,8,a,m","o,M,c,8,9","o,P2,cc,c,8,a,m","o,M,c^c,c,8,9","4,o,M,c,9",Z,"a,m","o,x",,,,,,,,,,,,,,,
,W7,2,"8,a,m","c^c,o,x","o,x,N,c,c,c,9","x,N,9","cc,c,8,a,Z","cc,c,9,N,c,cc,c,9","4,o,M,c,8,9","o,M,c,8,9","o,M,c,c,8,a,n","cc,c,o,8,9","x,x,o,8",,,,,,,,,,,,,,,
,,3,"8,a,m","c^c,c,9","c^c,c,c,9","8,a,n","o,x,8,a,Z","c^c,c,c,o",x,"N,a,n","c^c,c,9","cc,c,c,c,8,a,m","o,x,o,c,c,c,8,9","o,M,a,m","a,x",,,,,,,,,,,,,
,7,1,"4,o,N,c,c,o,Z","o,N,c,c,9","4,o,c,c,9","cc,o","8,c,c,a,x","8,a,m","cc,c,M,c,a,x","cc,c,c,N,9","o,M,a,Z","a,m","cc,c,N,c,9","x,M,c,8,9",,,,,,,,,,,,,,
,R8,2,"8,a,m","cc,c,N,c,c,N","cc,c,c,N,c,9","o,x",Z,"a,n","o,8,a,Z","c^c,c,c,9","8,a,m","M,cc,a,Z","o,N,c,c,8,a,m","o,Z,a,Q",,,,,,,,,,,,,,
,,3,"c^c,c,c,o,x","o,N,c,c,9","N,a,m","o,N,a,m","o,x","x,cc,c,9","c,M,c,c,o",Z,"a,m","cc,c,c,9","4,o,N,c,c,9","4,o,N,c,c,a,m","a,x",,,,,,,,,,,,,
,8,1,"2,a,i,2","o,N,c,a,m","cc,c,o,x","c^c,c,8,9","4,o,N,c,c,c,9","8,?,a,m","a,Z","o,Z","x,N,a,Z","cc,a,Z","a,m","o,N,a,x",x,"8,?,Z","x,2",,,,,,,,,,,
,W7,2,"2,a,x","x,cc,c,a,x","x,N,c,c,c,9","o,N,a,Z","a,Z","a,n","o,x,cc,c,c,c,2","o,x","cc,c,a,x","o,N,a,m","9,N,a,Z","a,x","o,N,a,x,a,Q",,,,,,,,,,,,,
,,3,"P2,a,Z,o,Z,a,m","c^c,c,8,9","4,o,N,c,9","4,o,x","c,c,c,2","a,m","x,a,x","x,N,c,c,c,8,9","o,M,a,n","c^c,c,c,9","cc,o,x","M,a,i","a,x",,,,,,,,,,,,,
,,4,"8,a,Z","cc,c,9",o,"cc,c,o,x","cc,c,8,c,c,9","4,o,N,c,c,8,9","cc,c,a,Q",,,,,,,,,,,,,,,,,,,
,9,1,"P2,o,x,c^c,c,8,a,m","4,o,N,c,o,9","N,c,o,x","cc,o,N,c,o,x","4,o,M,c,8,9","4,o,M,c,c,8,9","8,a,Z","Z,a,m","c^c,c,8,9","4,o,M,a,n","o,M,c,c,8,9",,,,,,,,,,,,,,,
,W8,2,"o,x","cc,c,o,x","c^c,c,8","4,o,N,c,8,9","4,o,N,c,8,a,n","cc,c,c,N,c,c,8","4,o,M,c,c,8,9","o,M,c,8,9","4,o,N,c,8,9","o,N,c,c,oZ",x,"N,a,Q",,,,,,,,,,,,,,
,,3,"8,a,n","c^c,c,8,a,n","4,o,N,c,8,a,Z","o,x,N,c,c,c,8,9","4,o,N,c,c,8,9","c^c,c,8,9","cc,c,8,a,Z","cc,c,8,9","o,M,c,c,8,9","4,o,N,a,Q",,,,,,,,,,,,,,,,
,10,1,"2,a,n","a,n","cc,c,8","x,cc,2","c^c,c,8","4,o,N,c,c,8,9","o,M,c,c,9","4,o,N,c,8,9","4,o,N,c,c,8,9","cc,c,c,8,9","4,o,N,cc,8,a,Z,o,x,8,9",,,,,,,,,,,,,,,
,R8,2,"M,o,x,c^c,c,9","o,cc,c,9","4,o,N,c,c,9","4,o,M,c,8,9","cc,o,M,c,c,9","4,o,N,c,9","cc,o,x,N,c,c,8,9","x,N,c,8,9","x,cc,c,8,9","4,o,N,c,c,9",,,,,,,,,,,,,,,,
,,3,"8,a,m","cc,c,8,9",x,"cc,c,8,9","c^c,o,x,N,c,c,8,9","4,o,N,c,c,8,9","cc,c,9","4,o,N,c,c,9","4,o,N,c,c,8,9","o,M,c,c,8,9","x,cc,c,8,a,Q",,,,,,,,,,,,,,,
,11,1,"8,a,m","c^c,c,cc,9","4,o,N,c,8,9","4,o,N,a,n","cc,o,Z","cc,a,x","cc,a,x","cc,c,8,9","8,a,n","a,x","a,x","N,c,c,8,9","o,M,a,x","9,2",,,,,,,,,,,,
,W8,2,"2,a,n","c^c,c,o,Z","c^c,c,c,9","c^c,c,c,N,c,c,9","4,o,N,c,9","o,N,c,9","c^c,c,9","x,N,a,n","c^c,c,8,9","4,o,N,a,n","8,a,x,a,Q",,,,,,,,,,,,,,,
,,3,"8,c^c,c,o,x","4,o,N,c,c,8,9","4,o,N,c,c,8,9","cc,c,9","4,o,N,c,c,8,9","4,o,N,c,8,9","c^c,c,?,N,c,9","x,N,c,8,9","4,o,M,c,c,8,9","o,M,a,Q",,,,,,,,,,,,,,,,
,12,1,"2,a,n","cc,c,9","x,N,c,8,a,n","cc,c,9","Z,o,Z","a,n","a,x","cc,c,a,Z","o,x,o,Z","cc,c,8,a,m","o,M,c,c,9","cc,c,8,9","2,x",,,,,,,,,,,,,
,R7,2,"8,a,m","c^c,c,c,a,x","4,o,N,c,c,8,9","4,o,N,c,c,8,9","4,o,N,c,c,8,9","4,o,M,c,9","4,o,N,c,c,9","4,o,N,c,c,9","o,M,c,8,9","4,o,M,a,m",,,,,,,,,,,,,,,,
,,3,"8,c^c,c,8,9","M,c,8,9","cc,c,c,N,c,c,9","c^c,c,c,N,9","x,c^c,c,c,8,a,n","c^c,c,o,Z","o,x,N,c,8,9","cc,x","N,a,Z","M,a,Z","o,M,a,m",,,,,,,,,,,,,,,
,13,1,"9,cc,c,a,n","cc,c,9","x,cc,c,a,x","9,N,c,c,9","4,o,x,cc,c,c,8,9","4,o,N,c,c,8,9","o,N,c,c,8,9","4,o,N,c,9","4,o,N,c,c,8,9","4,o,M,c,c,8,9",,,,,,,,,,,,,,,,
,W8,2,"c^c,o,8,a,n","cc,c,a,x","c^c,c,8,9","Z,cc,c,c,M,c,9","4,o,N,c,c,9","cc,c,o,x,N,c,c,8,9","cc,c,o,x","cc,c,8,9,M,c,9","o,M,c,c,a,Z,a,Q",,,,,,,,,,,,,,,,,
,,3,"9,c^c,c,9","4,o,x","x,c,c,c,9","c^c,c,9","4,o,N,c,c,?,Z","c^c,c,9","4,o,N,c,c,9","x,c^c,c,c,9","o,M,c,c,9","c^c,c,c,9","4,o,x","cc,c,c,N,c,c,9","x,cc,Q",,,,,,,,,,,,,
,14,1,"c^c,c,o,x","c^c,c,8,9","4,o,N,c,c,9","cc,c,8,a,Z","c^c,c,a,x","4,o,N,c,c,8,9","4,o,N,c,c,8,9","4,o,N,c,9","c^c,c,c,9","4,o,N,c,a,x","a,Z,a,x",,,,,,,,,,,,,,,
,R7,2,"2,a,m","c^c,c,c,a,n","4,N,a,n","o,N,c,c,9","4,o,N,a,x,o,Z","cc,c,o,x","N,c,o,x","cc,c,8,9","4,o,N,c,c,9","4,o,N,c,c,9","Z,a,x",,,,,,,,,,,,,,,
,,3,"9,cc,c,c,9","4,o,N,c,c,c,9","c^c,c,8,a,n","4,o,N,c,c,8,9","4,o,N,c,c,9","o,N,c,c,8,a,x","o,N,c,o,x","x,N,c,c,9","x,cc,c,8,9","x,cc,c,8,9",,,,,,,,,,,,,,,,
