line,t1,t2,t3,n
105v.3.1,"P1,o,8,a,x","N,c,8,a,Z","o,x,P2,cc,c,2,8",1
108r.8.1,"P1,o,x,a,m","c^c,N,c,9","4,o,N,a,x",1
113r.11.1,"P1,o,x,cc,2,a,Z","o,M,c,o,x","x,c^c,c,8,9",1
112r.1.1,"P1,o,x,cc,c,9","4,o,N,c,c,9","9,N,a,n,Z",1
113v.1.1,"P1,o,x,o,Z,a,Z,o,Q","o,M,cc,c,9","4,o,M,a,Z",1
111v.7.1,"P2,2,a,x,a,Z","cc,c,c,9","4,c,N,a,x",1
105r.3.1,"P2,8,a,Z",o,"c^c,c,8,9",1
107r.8.1,"P2,9,8,a,Z","a,n,Z,o,Q","4,o,N,n,Z",1
113v.6.1,"P2,9,cc,8,a,Z","cc,c,N,c,c,8,9","o,M,c^c,c,8,9",1
106v.15.1,"P2,9,cc,a,x","c^c,c,8,9","4,o,M,c,c,8,9",1
108r.11.1,"P2,9,cc,o,Z,9","o,P2,cc,c,9","x,N,c,o,x",1
106v.13.1,"P2,9,o,a,x,9","cc,c,o","a,n,Z",1
116r.2.1,"P2,a,8,a,Z","c^c,c,9","o,c^c,c,c,N,9",1
112r.9.1,"P2,a,Q","o,N,a,m","o,x,N,c,8,9",1
105r.2.1,"P2,a,Z","a,Z,o,8,9","c^c,c,8,c,c,c,9",1
107v.5.1,"P2,a,Z,a,i,2","o,N,a,x","o,P2,cc,o,x",1
107r.10.1,"P2,a,i,2,a,Z","a,x","a,Z,o,x,N,c,c,9",1
114r.6.1,"P2,a,i,2,o,8,9","c^c,c,8,a,Z","4,o,P2,cc,8,9",1
107r.9.1,"P2,a,i,Z","a,n,c,N,c,c,8,9","c^c,a,x,N,a,m",1
112r.8.1,"P2,a,i,Z,a,Z","x,c^c,8,a,Z","o,N,c,cc,c,8,9",1
112r.7.1,"P2,a,i,Z,a,x","N,c,o,x,o,Z","o,N,a,m",1
115r.12.1,"P2,a,m","o,8,9","x,N,cc,c,o",1
113v.9.1,"P2,a,n,2","o,M,c,c,9","x,N,a,m",1
107r.7.1,"P2,a,x","a,x","cc,N,9",1
113v.10.1,"P2,a,x,2,a,i,2,9","o,M,c,o","4,o,N,c,c,8,9",1
112v.12.1,"P2,a,x,9","N,c,c,8,a,n","c^c,c",1
111r.17.1,"P2,a,x,N,c,c,o","c^c,c,9","cc,c,o,N,c,a,n?",1
107v.6.1,"P2,a,x,a,Z","o,Z","a,i,Z",1
113r.12.1,"P2,a,x,c^c,2,a,Z","x,c^c,8,a,m","o,M,c^c,2,a,m",1
107v.7.1,"P2,a,x,cc,a,Z","a,Z","a,N,a,n,N,9",1
106r.1.1,"P2,c^c,8,a,Z","c^c,o,c,P1,9","9,M,c,c,8,9",1
114v.8.1,"P2,c^c,c,8,9","4,o,P2,cc,c,o,2","o,N,a,m",1
104v.11.1,"P2,c^c,c,o,8,a,Z","c^c,c,c,8,9","4,o,M,cc,c,8,a,Z",1
