idx,textstring
87.v.2,"o,P2,cc,c,c,9; c,M,cc,9; c,P2,c,c,o,N,c,9; cc,c,o,Z; cc,c,P2,cc,c,o,x; N,cc,o,Z; o,x; cc,c,c,o,x; 4,o,N,o,8,a,x; x,2,c,c,c,9; N,c,o,8,a,Q; 9,M,cc,c,o,4,o; cc,o,2; c,N,c,c,o,2; cc,c,o,9; 2; cc,c,o,x; 2,a,x; 8,a,n; N,c^c,c,o,x; 4,o,a,Z; c,P1,c,2; 9,N,a,m; 2,a,Z,a,x; a,n,Q; a,Q; 2,a,i; a,?,9; N,c,o,x; 8,a,i,Z; o,x,8; a,m; a,M,o,x,Q; 9,N,c^c,o; 4,o,2; a,Z,o,x,o,Z; o,Z; a,x; 8,a,Z,a,m,Q; 2,a,m; o,x,c,M,c,Z"
88.r.1,"o,M,o,Z,cc,c,M,9; o,2,a,x; o,Z,a,x,8; o,x,8,a,Z; o,M,o,N,9; o,M,a,x,9"
88.r.2,"8,a,Z,c^c,c,o,9; c,M,c,c,o,x; 4,o,c,N,c,c,9; 8,o,Z,9; c^c,c,o,Z; c^c,o,x,P1,cc,o,Z; 8,a,x; cc,c,N,c,o,x; 2,a,x; c^c,c,o,Q; N,c,o,x; cc,c,a,Z; c^c,c,N,o,Z; 4,o,N,o,Z; 8,a,m; 2,a,Z; 2; a,m; o,N,9; 2,a,Q; o,a,n; o,Z; o,Q; o,M,a,Q; o,N,c,o,Q; cc,c,c,o,Z; 4,o,N,c,o,8,9; 8,a,Z; o,Z; o,Q; cc,c,o,8,9; 4,o,N,c,o,x; cc,c,o,x; 2,a,m; cc,c,o,2; cc,c,o,x; 8,o,x,c,c,c,9; o,Z; cc,c,o,Q; cc,c,o,Q,a,Q; 9,o,N,c,o,8,9; cc,c,o,Q; 4,o,o,Z; cc,c,c,2; 9,N,c,o,Z; c^c,9; 2,a,Q"
88.r.3,"o,N,a,x,8,9; o,Z,a,Q; ?,a,Z,9; o,N,o,x; 2,o,Z,o,Z,9; o,M,9,8,a"
88.r.4,"N,o,a,c,P2,cc,9; c,P2,c,o,x; o,Z,cc,o,Z; P2,cc,c,o,x,9; o,M,cc,o,x; o,x,8,9; 2,a,x; 2,a,x,9; 8,cc,c,9; cc,o,N,o,x; 8,a,m; 4,o,c,N,o,x; 4,o,c,N,o,x; 4,o,c,N,c,o,x; o,N,o,x; cc,c,o,x; 8,c^c,c,o,x; 4,o,N,c,c,9; 2; cc,9; 2,a,m; cc,o,Z; o,M,c,o,Z; a,m; cc,o,2,a,x,2; M,c,o,x; cc,o,Z; o,x,c^c,c,o,8,9; 4,o,N,c,o,x; c^c,o,c,N,c,9; o,x; c^c,c,c,o,x; c^c,c,o,x,8,Q; 9,cc,c,9; o,N,a,m; cc,o,x; cc,c,o,Z; o,x; cc,o,Z,cc,o,x,2,a,x"
88.r.5,"o,P1,a,x,8,o; o,M,o,Z,a,Q; o,P1,9,2,N,9,8,a,x"
88.r.6,"P2,o,c,c,a,Z; c^c,c,o,N,9; o,x,N,c,c,9; c,M,c,o,x; P2,o,x,8,9; 2; o,N,o,x,8,9; 4,o,N,o,x; cc,o,x; 4,o,N,o,x; 4,o,N,o,x; cc,o,x; cc,c,c,9; o,Z; a,m; o,x,8,a,x; 9,N,a,Z; cc,c,o,x; cc,o,x; cc,c,9; c,N,c,c,9; 2; o,Z; c^c,c,a,Z; a,Z; a,x,2,9; N,o,Z; cc,c,9; 4,o,N,o,x; cc,c,o,x; cc,o,8,9; 4,o,N,o,x; N,cc,o,Z; cc,o,x; 8,a,x; 9,N,c,c,c,9; cc,c,o,Z; cc,c,o,M,c,9; cc,c,o,x; 4,o,N,c,o,Z; cc,c,M,cc,9; o,P1,a,x; 8,a,Z; cc,c,a,Z; cc,o,x; 8,o,x; 4,o,c,N,c,o,Z; cc,c,o,Q"
88.v.1,"o,N,o,x,9,8; cc,c,o,c,M,c,9; c,P2,c,c,o,Z; o,M,a,Z; a,Z,o,8,9; o,M,o,N,o,x"
88.v.2,"M,c,o,8,a,x; x,N,c,o; cc,c,o,Z; 2,o,c^c,c,N,c,9; 2,o,Z,c^c,9; a,m; cc,c,o,N,a,x; 2,a,x,8,a,m; 8,c^c,o,Z; c^c,o,Z; 4,o,N,c,o,8,9; 4,o,N,c,o; x,cc,c,9; cc,N,c,o,Z; 4,o,N,c,c,9; 8,a,m; 4,o,N,c,o,Q; 4,o,a,m; cc,c,o,9; o,x,cc,c,o,8,9; 4,o,c,N,c,o,x; cc,o; cc,c,N,c,9; 4,o,c,c,9; N,c,9; cc,c,o,N,a,Q; cc,o,c,c,9; N,c,c,o,8,9; 2; a,m; cc,o,8,9; o,N,c,a,Z; cc,c,o,x; a,Z; cc,c,c,9; 2,a,n,a,x; 8,a,Z; cc,c,o,Z,o,x; cc,c,N,o,x; 8,a,Z,a,x,9"
88.v.3,"o,M,o,Z,a,Q; o,M,o,Z,9; cc,c,o,2,8,9; o,N,a,m"
88.v.4,"N,o,c^c,o,x,8,9; 4,o,M,o,8,9; o,P2,9,N,c,9; o,x; 8,a,m; 4,o,M,c,o,8,9; 9,P1,o,x,a,m; o,Z,a,m; 9,c^c,c,o,8; c^c,c,o; c^c,c,o,8,9; 4,o,N,c,o,8,9; 4,o,N,9; cc,c,c,2; cc,c,o,8,9; 4,o,N,c,o,8,9; 8,a,x; 4,o,N,c,c,9; 4,o,N,c,o,8,9; cc,o,Z; o,M,c,o,8,9; 4,o,c,N,c,o,x; o,N,o,x; cc,c,c,8,9; 4,o,N,o,8,9; 9,N,c,c,o,Z; cc,o,c,N,c,9; o,M,o,x; cc,c,c,o,x; cc,c,o,8,9; 4,o,M,o,8,9; 2,o,M,c,o,x; cc,o,M,a,Q; o,8,o,m; c^c,c,o,o,x; 4,o,N,c,c,9; o,x,a,m; cc,c,o,8,9; cc,o,c,M,c,c,9; o,M,c,o,8,9; 8,9; 2,4,o,N,c,o,8,a,m; cc,c,o,8,9; o,M,c,o,x; cc,c,o,c,N,c,9; cc,o,8,9"
88.v.5,"M,o,a,i,Z,c^c,9; o,M,c,c,o,8,9; c,P2,c,c,o,8,9; 9,N,cc,c,9; 8,a,Q; cc,c,o,Z; cc,a,x,9,N,o,Z,a,n; 8,a,i,Z,o,8,a,n; 9,N,c,o,8,a,n; 8,a,n; c^c,c,8,9; 4,o,M,c,o,x,cc,8,9; 4,o,N,c,o,Z,a,n; M,o,x,N,c,c,o,8,a,m; 4,o,N,9; c^c,c,o,x; 8,a,m; cc,c,c,2; a,m; cc,o,N,a,Z; 8,a,n,Q,8; 8,a,m; c^c,c,o,Z; c^c,c,c,8,9; 8,a,m; c^c,o,c,N,c,9; 4,o,N,c,o,8,9; 8,o,c,N,c,9; 8,a,i,Z; 9,N,c,c,9; c^c,c,o,Z; M,o,2; cc,c,c,N,c,9; 8,a,n; cc,c,o,2; cc,c,o,c,N,c,9; 2,a,x,8,9; 2,a,m; cc,o,N,9; cc,c,o,Z; c^c,9"
88.v.6,"8,a,Z,a,Q,8,a,x; o,M,9,8,a,Z,9; o,M,8,o,Z,8,9; 8,a,Z,a,Z,8,a,Q"
89.ra.1,"o,N,cc,c^c,9; 4,N,o,x; o,x,8,a,Q; o,M,o,x,8,9; a,Z,a,Z,cc,o,8,a,m"
89.ra.2,"4,o,a,Z,c^c,a,Z; 4,o,P2,cc,o,x,9; 4,o,N,o,8; cc,c,P2,9,8,a,Z; c^c,c,c,9; o,N,o,Z; c^c,c,c,o,2; o,x,8,a,n; 8,c^c,o,8,9; 4,o,c,M,c,9; cc,o,c,N,c,9; 8,a,x; cc,c,8,9; 4,o,N,c,o,8,9; 8,a,x,8,a,m; cc,o,8,a,m; 8,a,x; 4,o,N,c,o,x; cc,o,x; 4,o,8,a,m; cc,o,x; cc,c,o,8,9; 4,o,N,c,cc,9; 8,a,m; c,M,c,c,o,8,9; 8,a,Q; 9,c^c,o,Z; ?; o,m+; 8,a,m; 4,o,N,c,c,9; 8,a,m; c,N,c,o,x; 4,o,N,a,n; cc,c,a,Q,9; M,8,a,n; 2,?; cc,o,x; cc,c,o,N,9; cc,c,o,8,9; 4,o,N,a,Z; 8,a,x; cc,o,Z; c,N,cc,9; 8,a,m"
89.ra.3,"9,N,9,8; cc,o,x,c,c,c,2; o,M,o,Z,a,n; o,N,a,m; 8,a,i"
89.ra.4,"M,cc,c,o,x; 4,o,c,a,i,Z; c^c,c,o,x; 4,o,c,P2,c,c,9; 2,a,m; cc,c,o,c,P2,c,c,9; 8,a,x; 8,a,Z,o,x,Q; o,Q; c^c,c,c,9; 4,o,N,c,9; x; 8,a,m; 8,a,x; cc,o,Q; cc,c,N,c,cc,9; cc,o,x; cc,c,o,2; a,m; 8,9; 4,c,a,m; cc,c,o,x; 2,c,c,9; 4,o,M,c,9; 4,o,N,c,c,o,x; 8,a,m; 9,N,c,c,8,9; 8,a,m; 8,a,i,Q; 8,a,x,2,a,x; 8,a,x; cc,c,o,8,9; 8,a,n,a,x,8,9; a,x; 8,a,x,8,a,x"
89.ra.5,"P2,c^c,o,x; c^c,c,o; 4,o,a,c,M,c,9; cc,c,o,c,P2,c,9; 2,c^c,c,9,Z; 4,o,N,a,i,Z,9,8,a,Q; 8,a,x,9; 8,a,i,Q; cc,c,o,Q; 4,o,a,c,N,c,9; a,i,Z; cc,c,o,8,9; x,8,a,n; 8,a,x; cc,o,Q; cc,M,a,n,?; M,a,m; 8,a,Q; c^c,o,c,M,9; 8,a,x; 4,o,N,cc,9; 9,N,cc,8,9; o,M,cc,a,Q; o,x; 2,c^c,?,a,m; 9,cc,c,c,o; Z; c^c,c,o,x; 4,o,c,N,c,c,8,9; 9,M,9; c^c,c,o,8,9; 4,o,M,o,x; cc,?,a,8; cc,c,9; 8,a,x; 8,a,n; o,M,c,o,2; cc,c,o,8,9; cc,c,o,8,a,n; 8,a,m; cc,o,8,a,m"
89.ra.6,"9,N,o,c,P1,c,9; 2,a,x,8,a,Q; 2,9,8,a,Z,a,Z,9; 9,8,c,P2,o,8,9"
89.rb.1,"o,8,o,Z,9; 8,o,x,9; o,P2,cc,o,2,a,Q; 2,a,x,o,m,c^c,c,o,x; o,P2,cc,c,o,Z"
89.rb.2,"4,o,N,cc,?,8,9; cc,c,o,8,a,x; 8,a,i,Z; cc,o,x,N,c,c,c,8,9; 4,o,N,c,8,9; cc,c,a,x; cc,c,o; 8,a,x?; 4,o,a,Z; c^c,c,9; c,P2,c,c,c,c,8,o,x; 8,c,c,9; 4,o,c,N,c,c,9; cc,o,x,8,9; 8,a,i,Q; cc,o,2; a,m; cc,c,o,8,a,x; 8,a,m; cc,9; cc,c,8,a,?; 8,o,x,cc,2,9,c,N,c,c,o,x; 8,a,m,cc,o,?; cc,c,c,8,9; M,cc,o,8,o,x; cc,o,Z; cc,o,x,8,9; cc,o,2; 8,o,x; o,N,cc,c,c,Q; M,o,x; 8,a,m; 8,a,m; 8,a,m,o,8,9; 4,o,N,c,c,9; cc,c,o,x,8,9; 4,o,8,9; cc,c,o,Z; 2; a?; 8,a,m; o,N,9; cc,c,o,8,9; cc,c,o,N,9"
89.rb.3,"o,M,o,x,8,9; o,N,o,x; c^c,o,x; 8,9; o,P2,cc,o,Z,o,m"
89.rb.4,"P2,o,Z,a,cc,o,x; 4,o,8,9; 4,o,M,c,o,x; o,x,8,a,m; o,M,a,x; c^c,c,o,Z; c^c,o,Z; o,x; 8,a,m; o,M,cc,o,x; cc,c,o,x; o,M,o,x,P1,cc,o; 8,a,Z; cc,o; x,N,c,o,P2,o,x; o,c,c,o,Z; a,Z; 8,a,m; o,x,N,c,9; o,N,c,o,x; o,N,c,9; ?; o,N,c,c,o,x; 4,o,o,Z; o,x; cc,o,Z; cc,c,N,9; c^c,9?; 8,a,m; cc,o,x; cc,c,o,x; N,o,x,8,a,Q; o,x,cc,c,o,x; 8,o,x; cc,c,o,x; M,o,2; o,x; cc,o,Z; 9,8,a,m; cc,c,9; 2; o,m+; cc,c,N,c,9; 4,o,N,c,o,x; o,N,c,9; o,N,c,9; N,c,c,9; cc,?,c,N,9; 4,o,N,o,x; o,N,c,c,9; 8,o,x; cc,c,c,o,8,9; o,c,?,N,c,9; 9,cc,c,o,M,c,c,o; c,N,c,o; 2,a,m; o,N,c,o; 8,a,m; o,c,N,c,9; 2,o,c,N,c,c,9; 8,a,m; cc,c,c,N,9"
89.rb.5,"N,o,Z,a,m,9; 2,o,8,a,Z; cc,c,9,2; cc,c,o,8,9; o,P1,o,Z,a,n; o,N,c^c,8,cc,o,2"
89.rb.6,"N,o,x,cc,c,2; c^c,c,o,x; 4,o,N,c,o,c,P1,9; c^c,c,c,9; o,P2,cc,c,o,Z; o,P2,cc,c,o,Z; o,P2,cc,c,o,x; c^c,o,8,9; c^c,o,x,8,9; 4,o,N,o,x; cc,c,9; o,x; 8,9; c^c,c,o,8,a,x; 9,M,o,x,8,9; 8,a,m; cc,c,o,M,o,N,c,o,x; 8,a,m; 8,a,x; 8,a,i,Z; 4,o,N,c,c,9; o,N,c,o,x; 8,a,m; 9; N,c,o,8,?; o,N,c,c,?; c,c,2; cc,c,c,9; 9,N,c,o,x; cc,c,o; cc,c,N,9; 9,o,N,c,c,o,x; cc,c,o,x; 4,o,N,c,o,x; c,c,c,9; c,c,c,o,N,o,Z; o,N,c,c,9,N,9; 8,a,m; 4,o,N,c,o,x; c,c,c,2,9; 4,o,N,c,c,9; 2,a,m; o,M,c,o,2; 8,o,m; 8,a,x; c^c,c,o,x; 2; a,m; 4,o,cc,c,c,9; 8,a,m+; 4,o,N,c,c,o,x; 4,o,N,c,o,8,9; cc,o,x,cc,c,o,x; 9,N,c,?; 4,o; 4,o,x; cc,c,o; x,o,m+; 8,a,i,Q,o,Q?; 2,cc,c,o,Z; 2,9; 2,o,Z,cc,c,c,9; 8,o,x; cc,c,o,Z; cc,c,c,9; 4,o,N,c,c,9; 8,a,m; 9,cc,c,a,Z,9; o,N,c,c,9; N,c,c,o,N,c,cc,9; c,M,c,c,9; 8,a,m; ?,9; 4,o,N,o,x; cc,c,o,Z; o,N,a,m; o,N,c,c,9; 4,o,c,c,9; cc,c,o,Z; cc,c,c,9; 4,o,N,c,o,x; cc,c,a,x,2; a,m; o,cc,c,o,x; 2,o,m+; 8,a,i,Z; cc,c,9; 8,a,m; o,Z,a,n; o,Z,a,n; o,x,8,a,m; 4,o,a,m; o,x; cc,N,a,m; 8,a,m; o,N,a,Z; 2,a,i,Z,9,x; 8,a,i,Z,?"
89.rb.7,"o,N,a,n; 9,o,Z,a,n; o,P1,a,N,a,x; o,M,a,x,2,9; 9,M,a,Z,a,Q; o,M,o,x,a,Z,o,x"
89.va.1,"cc,o,c,c,2,9; o,N,a,?,Q; 8,a,Z,cc,c,o,Z; cc,o,N,a,Z,o; c^c,c,o,x; cc,o,N,a,Q"
89.va.2,"N,o,2,a,Z; c^c,c,o,x; 2,a,m; N,o,m; c?,M,o,8,a,m; P2,?,m; cc,o,M,9; 4,o,P1,o,m; 8,9; 8,o,n,Z; o,P1,a,m; o,x; c,P1,c,c,o,x; 8,a,Q; 8,a,n; 9,N,o,8,a,n,Z; o,N,o,Z; cc,c,a,Z; o,M,c,c,2; c,c,c,N,c,9; 2; a,m; c,N,c,c,9; o,M,a,m; o,N,a,Z; 8,a,n; o,N,o,x; o,x; cc,o,Z; 8,a,Z; 9,cc,c,9; o,N,c,c,9; 4,o,c,o,x; 8,a,m; cc,o,Z; cc,o,2?; cc,c,o,2; 4,o,x; c; 2,c,c,9; 8,a,x; cc,o,8,9; cc,c,o,Z; cc,c,9; 4,o,a,m; cc,o,8,9; 8,a,i,Z; o,Z; cc,c,o,x; cc,o,Q; 4,o,x; cc,c,o; x,cc,o; x; o,Z; cc,c,o; 8,a,m; cc,N,a,Q"
89.va.3,"o,N,a,Z,9; o,M,a,i,Z; cc,o,8,9; 8,9,N,a,Z,a,i; o,P2,cc,c,c,8,c,9"
89.va.4,"2,o,Z; o,a,i,Z,a,Z; c^c,c,c,M,9; cc,o,8,?; N,o,2,9; o,c,c,a,Z; c,a,i,Z; c^c,c,o,M,a,n; 9,M,o,8,a,m; o,c,M,c,o,2; o,N,a,n,2; o,N,c,o,2; 8,a,Z; 2; 2?,m; 9,N,c,o,8,9; 8,a,Z; a,M,a,x; 8,a,x; 8,o,Z,a,x; 8,a,Z; a,Q; 9,c^c?,o; 4,o,N,c,c,o,x; cc,c,9; 2,a,i,Z; 8,a,Q; cc?,9; P1,o,Z; o,P2,o,8,a,m; 8,a,Q; 2,a,2,9; 4,o,8,a,Q; 9,M,c,o,2; a,m; 4,o,N,a,Z; cc,o,Z; c,M,c?,9; 8,a,m; cc,o,2; c,c,c,9; 8,a,Z; a,m; cc,o,c,c,c,2; o,N,a,Z; cc,c,M,c,9; 8,a,Z,a,i,Q?,2"
89.va.5,"M,o,a,Z; 4,o,N,c,c,o; 8,9; 8,o,c,P1,c^c,c,9; 8,a,i,Z,?; c^c,c,o,2; P2,c^c,c,o,c,P2,o,a,n; 8,a,n; 4,c,o,Z; 9,N,c,o,Z; o,M,o,x,c^c,c,c,9; 8,a,x,8,a,m; 8,o,x; 8,a,i,2; cc,c,9; o,N,a,m; c^c,9; 8,a,m; ?,o,8,o,Z; c^c,c,o,2; a,m; 8,a,i,N,c,o,8,9; 4,o,N,o,Z,a,Z; c^c,c,o,8,9; 4,o,N,o; x,M,cc,c,o,8,9; o,M,a,x; 8,a,Z; 4,o,c,N,c,9; 4,o,N,a,x; o,N,c,o,9; cc,o,c,N,?,9; 8,a,m; o,8,a,m; 9,N,c,o,8,9; o,N,o,x; 2; c^c,c,c,9; N,c,c,o,8,9; 8,a,m; 4,o,N,o,2; o,N,c,o,Q; o,c,N,c,o,8,9; 8,a,m; 9,N,a,Q; 2; cc,M,9; cc,9; c,M,c,c,9; 8,a,i,Z,a,i,Z; cc,o; o,x; x,o,9?; 8,a,i,Z; cc,c,o; 8,a,m"
89.va.6,"o,P2,a,x,o,n,Z,9; o,M,a,Z,a,Q; cc,M,cc,9; ?,?; 2,i,8,?; 8,a,Z?,c,N,9"
89.vb.1,"o,N,a,Z,a,x,8,9; o,M,o,c,N,c,9; o,M,cc,a,Z; 8,a,Z,c^c,o,8,9"
89.vb.2,"N,o,x,8,a,x; 2,P1,a,x; c,P2,c,c,9; o,P1,cc,c,o,x; o,P2,o,x,2,9; 8,a,m; 4,o,P2,o,x; ?; o,x,8,a,m; o,c,M,c,o,8,9; 8,o,Z; c^c,c,c,9; 4,o,N,o,x; cc,c,o,x; c,M,c,o,8,9; 4,o,c,N,c,9; 8,a,n; 9,M,c,c,9; o,N,a,Z; c,M,c,o,x; 4,o,N,c,9; 8,a,m; cc,c,c,9; c,M,c,o,8,9; 4,o,o,Z; c^c,c,a,Z; 2; o,x; cc,o,Z; cc,c,a,Z,o,Z,9; c^c,o,c,N,c,c,9; o,Z,a,Z,o,x; cc,c,o,N,9; 4,o,9,cc,o,8,a,i,Z; cc,o,N,9; 8,a,m; o,M,a,Z,o,N,a,Z; M,o,cc,?,o; c,M,c,o,Z; o,N,o,x; cc,c,N,a,m; o,2; a,m; o,x; cc,c,o,N,cc,c,9; 4,o,N,o,m,?,8,a; M,o,Z; c^c,c,o,Z; cc,c,c,o,Z; c,M,c,c,9; 4,o,N,o,x; 8,a,m; cc,c,N,a,x; 8,a,x,2; cc,c,a,Z; 4,o,M,a,Q; o,c^c,c,o,N,o,m; 2,a,n; o,x; c^c,o,8,a,n; 4,o,N,a,Z; a,n; cc,c,N,a,x; 8,a,m; 8,a,Z; 4,o,N,a,Z; o,8,a,m"
89.vb.3,"M,o,c^c,c,o; P1,cc,c,o,8,9; c^c,c,N,c,9; o,Z,c^c,o,2; o,n,Z; o,P2,c,c,9; 4,o,N,c,o,8,9; cc,c,o,8,9; 8,a,x,8,9; 9,N,c,c,9; 9,N,c,c,9; o,8,a,x; c^c,o,N,9; o,N,a,x; cc,o,8,9; o,N,o,a,m; 8,a,x; cc,8,9; 8,a,x,8,9; 8,cc,c,o,8,9; 8,a,m; c,M,c,o,x; 8,a,m; 8,a,x,8,9; o,N,c,o,Z; 9,M,c,9,N,c,o,Z; cc,c,9,M,9; o,cc,9; 4,o,N,a,m; 9,N,cc,o,x; 4,o,c,N,c,9; o,N,a,x,8,9; o,M,a,x; 8,a,x; cc,o,8,a,Z; o,N,a,m; 8,a,x,Q; 2,a,x; c^c,o,x; 9,N,o,x; 8,a,Z,a,Q; c^c,o,x; c,N,c,9; 8,o,x,cc,c,9; 8,a,x,c^c,8,9; o,N,c,o,x; 8,a,x,cc,9; 4,o,N,o,x; c^c,c,o,x; 4,o,N,o,x; 8,a,x; cc,o,x; 8,a,Q; 4,o,c,c,9; 2,a,m; o,x,2; cc,o,N,a,m; 2,a,Z; a?; 8,a,m?; c,N,c,9; 4,o,M,cc,9; o,N,o,x; 9,cc,c,o; c,M,c,o,8,9; o,N,o,x; o,x,N,c,c,9; c,M,c,9; 2,o,x; cc,c,9; o,N,cc,o,x; 2,a,i,Z; 8,a,m; o,N,a,x; cc,o,x,8,9"
89.vb.4,"N,o,c,c,o,Z,a,n; o,M,a,Z,c^c,o,2; o,P2,o,x,o,x,a,m; o,P2,a,x,8,a,m"
90.ra.1,"P2,o,x,cc,o,x; 4,o,N,c,o,x; 4,o,N,cc,o,8; cc,o,x,9; c,M,c,o,Q; 9,c^c,o,x; M,a,Z; c^c,c,o,Z; 4,o,M,cc,o,Z; 4,o,N,9; 8,a,Z,a,x,a; 8,a,i,Z; c^c,N,c,c,o; 2; 2,a,Z,9; o,N,a,Z; 9,N,o,Z,c^c,9; x,N,a,x,8,9; M,o,x,cc,o,Z; cc,o,8,a,m; cc,o,c,P1,c,o,Z; 4,o,N,cc,o,Z; cc,o,c,N,c,9; o,N,cc,o,8; 4,o,P1,cc,o,x; 9,M,o,Z; c,N,c,9; x,P2,9,cc,o,x; c^c,o; o,x; o,N,a,cc,c,9; Z; c^c,c,o,Q; N,cc,o,x; 8,cc,9; 8,a,2,a,8,9; M,o,x; o,M,cc,o,x; c^c,o,Z,9,8,a,Z; 4,o,N,c,o,2; o,N,c,o,2,cc,2,o; cc,o,x; 9,M,o,8; 4,o,N,c,o,2; 8,o,x,c^c,9; 8,a,Z; cc,o,2; 4,o,c,M,c,9; 4,o,N,cc,o; c^c,N,o; 4,o,N,o,x; o,M,c,c,9; cc,o,P2,9; 9,N,c,o,8,9; 4,o,N,o,8; N,o,Z; c^c,c,o,x; 4,o,8,a,Z; o,N,o; 9,N,c,c,9; 4,o,N,c,c,9; 4,o,8,a,Z; 4,o,N,a,8; 2; cc,o,N,9; 9,N,o,8,a,Z; 4,o,c,N,cc,9; c^c,o,N,o,x; o,N,a,Q"
90.rb.1,"M,o,c,a,x,cc,2; c^c,o,N,o,x; c^c,c,o; 4,o,c,N,c,c,9; 2,o,c,c,o,x; 4,o,M,c,o,8,9; 2,a,m; c,N,c,c,o; 2,a,m; 4,o,c,N,c,c,9; 2; 9,N,c,c,o,8,9; 2,cc,c,c,9; cc,o,2; c,N,c,2; 8,c^c,c,c,o,2; 4,o,N,c,o,8; 4,o,N,c,o; cc,o,x; o,x; o,N,a,x; 2,a,m; c,M,c,c,o; 2; a,Z; a,x; 2; a,n; cc,c,o; Z,o; 2,o,N,c,c,9; 4,o,N,c,c,o,Z; a,x; a,Z,a,x; o,9,2; 9; cc,o,Z; c,N,c,o,2; 4,o,c,c,o,Z; o,N,o,m; 8,o,Q; o,x,cc,c,o; Z,o,8,a,m; 8,a,m; 4,o,N,o,Z; o,N,o,m; 8,a,m"
90.va.1,"c,P2,c,8,a,cc,?,9; 4,o,c,P2,c,c,9; o,P2,o,x,2,a,m; o,P1,cc,c,8,o,x; Z,c?; c^c,c,2,o?; c^c,o,8,a,m; c^c,c,a,2; P2,o,8,cc,c,9; c,M,c,c,o,8; c,N,c,c,c,o,2; cc,c,c,9?; 9,N,c,c,9; 2; o,?; 4,o,N,c,c,o,2; 2,o,n; 2,a,Q; 2,a,m; c^c,c,o,Q; c^c,c,c,9; N,c,c,o,2; o,x; cc,c,c,a,Z; cc,9; c^c,9; M,cc,o,8,9; o,N,c,c,o,Q; M,cc,o,2; o,M,c,c,9; 2,a,m; o,N,c,c,c,9"
90.va.2,"M,cc,c,o,8,9; c,P2,c,c,a,x; 4,o,a,Z; cc,c,o,x; cc,o,2; a,x,o,x,2; 8,c^c,cc,c,a,x; c^c,c,o,x; 4,o,8,a,Z; 2,a,x; c^c,c,a,x; c^c,c,9; 4,o,N,c,c,9; 4,o,N,c,o,x; cc,c,o,8,9; 2; 9,N,c,c,o,x; 8,a,Z; cc,o,8,9; 9; c^c,c,9; 2; c^c,c,c,o,x; c^c,c,o,x; c^c,c,o,8,9; M,o,x; c^c,c,o,c,M,9; o,M,c,c,9; cc,o,8,a,Z; cc,o,Q; M,c,c,a,2; 4,N,c,o,8,9; 4,o,N,cc,9; o,M,c,c,o,x; 8,a,n"
90.vb.1,"P2,cc,c,o,2; cc,o,8,a,Z; o,x,c,c,c,2; cc,c,P2,9; c^c,o,x; c^c,c,N,c,c,c?,o; o,M,o,x; c^c,c,9; cc,c,o; Z; cc,c,o,N,c,c,9; M,c^c,o,Z; o,x,c^c,c,o,8; 4,o,8,a,m; 4,o,N,c,c,o,Z; 2,9; o,Z,a,m; 9,N,c,c,o,x; o,c,M,c,c,o,8,9; c,M,cc,c,9; 8,a,m; c^c,o,8,9; c,P1,c,c,o,2; 4,o,c,N,c,9; cc,o,x; o,x; 2,a,x,2; 2,o,x; 9,M,c,c,9; o,Z; cc,c,c,9,M,c,9; N,o,2; c^c,c,o,Z; cc,o,c,N,c,o,Z; 4,c,N,c,o,8,9; cc,c,o,8,9; 2,9; 2; o,x,cc,c,c,9; c,M,cc,9; 4,o,N,9; 8,cc,c,c,9; N,c,c,9; N,c,c,c,9; c,M,c,c,9; 9,M,9; o,N,c,c,o,8,9; 2,9; o,x,cc,c,c,9; c^c,?; 4,o,N,c,9,2; c^c,c,M,c,c,o; Z,o,Z; c^c,c,o,x; o,x; N,a,m"
90.vb.2,"N,c^c,c,o,8,a,x; c^c,c,o,8,9; 4,o,cc,c,o,M,?; c^c,o,N,o,x; 4,o,N,c,c^c,2; 9,M,c,o,8,9; P2,o,8,a,cc,?,c,9; 8,a,m; o,N,c,c,c,9; cc,c,?; 4,o,M,c,cc,c,o,2; c,M,c,o,8,a,i,Q; 2; cc,c,o,x; cc,o,x; o,N,c,a,Q; c^c,c,o,Z; o,x; 4,o,N,c,c,o,N,9; o,N,c,c,o,x; o,N,c,c,o,8,a,m; 9,M,o,x; 2,o,Z; a,2,m; a,m; 9,N,c,c,o,Z; cc,c,o,2; ?,N,c,c,9; cc,c,o,2; o,M,c,o,x; o,N,c,cc,o,8; 8,c,c,o; c,M,c,c,9; N,c,c,c,o,x; c^c,c,o,x; c^,M,c^c,c,o,x; 8,a,m"
