token,cluster,freq,token_len
"4,o,M,cc,c,o",3,3,6
"4,o,M,cc,c,o,x",5,3,7
"4,o,M,cc,o",5,9,5
"4,o,M,cc,o,2",8,1,6
"4,o,M,cc,o,8",3,2,6
"4,o,M,cc,o,8,9",3,4,7
"4,o,M,cc,o,M,cc,9",2,1,8
"4,o,M,cc,o,Z",5,10,6
"4,o,M,cc,o,Z,a,m,9",7,1,9
"4,o,M,cc,o,m",3,2,6
"4,o,M,cc,o,x",3,14,6
"4,o,M,cc,o,x,Q",2,1,7
"4,o,M,i,c,8,9",0,1,7
"4,o,M,o",8,6,4
"4,o,M,o,2",0,1,5
"4,o,M,o,8",5,2,5
"4,o,M,o,8,9",0,10,6
"4,o,M,o,8,a,m",5,1,7
"4,o,M,o,8,a,n",9,1,7
"4,o,M,o,9",3,1,5
"4,o,M,o,N,9",0,1,6
"4,o,M,o,Q,o,8,9",3,1,8
"4,o,M,o,Z",3,21,5
"4,o,M,o,Z,8,9",5,1,7
"4,o,M,o,Z,a,Z",3,1,7
"4,o,M,o,c,M,c,c,9",2,1,9
"4,o,M,o,c,c",9,1,6
"4,o,M,o,c,c,2",3,1,7
"4,o,M,o,c,c,9",2,1,7
"4,o,M,o,m",0,4,5
"4,o,M,o,n,Z",2,1,6
"4,o,M,o,x",3,41,5
"4,o,M,o,x,8,9",5,1,7
"4,o,M,o,x,8,a,m",8,1,8
"4,o,M,o,x,9",3,1,6
"4,o,M,o,x,a,m",4,1,7
"4,o,M,o,x,cc,8",3,1,7
"4,o,M,o,x,cc,9",0,1,7
"4,o,M,o,x,cc,c,8,9",1,1,9
"4,o,M,o,x,cc,c,o",0,1,8
"4,o,M,o,x,o",5,1,6
"4,o,M,o,x,o,x",1,1,7
"4,o,M,x",6,2,4
"4,o,M,x,o,x,N,a,x",4,1,9
"4,o,N",4,8,3
"4,o,N,8",5,2,4
"4,o,N,8,9",1,3,5
"4,o,N,8,cc,8,9",4,1,7
"4,o,N,9",4,147,4
"4,o,N,9,2",5,1,5
"4,o,N,9,8",3,1,5
"4,o,N,9,8,9",4,2,6
"4,o,N,9,N,c,o,x",2,1,8
"4,o,N,9,x,8,8,9",4,1,8
"4,o,N,9?",0,1,4
"4,o,N,?,8,9",4,1,6
"4,o,N,?,9",8,1,5
"4,o,N,?,?",4,1,5
"4,o,N,?,Z",4,1,5
"4,o,N,?,c,9",4,1,6
"4,o,N,?,o,Z",4,1,6
"4,o,N,a,2",4,2,5
"4,o,N,a,8",8,1,5
"4,o,N,a,8,9",4,2,6
"4,o,N,a,9",3,1,5
"4,o,N,a,?",4,2,5
"4,o,N,a,?,Z",4,1,6
"4,o,N,a,Q",4,24,5
"4,o,N,a,Q,8,9",7,1,7
"4,o,N,a,Z",7,158,5
